problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,100,0.19032347,0.033503,0.02941,0.016048,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,200,0.11770979,0.037999,0.033791,0.017381,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,300,0.05641748,0.032019,0.019841,0.025131,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,400,0.04945272,0.044023,0.019818,0.03931,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,500,0.04631931,0.044523,0.019672,0.039942,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,600,0.0375072,0.038056,0.014369,0.035239,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,700,0.03673357,0.041521,0.015528,0.038508,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,800,0.05651288,0.033458,0.011143,0.031548,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,900,0.03688644,0.038124,0.011179,0.036448,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,1000,0.04987273,0.029067,0.009961,0.027307,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,1100,0.03327109,0.027299,0.010768,0.025085,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,1200,0.04131268,0.034317,0.013894,0.031379,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,1300,0.05044628,0.039602,0.008935,0.038581,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,1400,0.03398186,0.023128,0.01222,0.019635,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,1500,0.03650347,0.029278,0.012104,0.026659,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,1600,0.03333796,0.024911,0.007635,0.023712,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,1700,0.03128748,0.029273,0.00982,0.027577,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,1800,0.03412605,0.035536,0.011406,0.033656,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,1900,0.03115522,0.030073,0.009792,0.028434,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,2000,0.03148203,0.034666,0.009467,0.033349,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,2100,0.03681874,0.051889,0.014719,0.049757,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,2200,0.04289983,0.133202,0.019395,0.131782,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,2300,0.0394981,0.047544,0.009056,0.046673,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,2400,0.03341838,0.023823,0.009141,0.021999,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,2500,0.03331478,0.036794,0.011058,0.035093,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,2600,0.03005725,0.024337,0.008835,0.022677,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,2700,0.03556294,0.026568,0.016146,0.0211,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,2800,0.03199854,0.023992,0.009642,0.021969,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,2900,0.03130372,0.021234,0.008789,0.01933,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,3000,0.03090293,0.023212,0.009619,0.021125,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,3100,0.03867957,0.046126,0.009189,0.045202,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,3200,0.04514214,0.050863,0.01501,0.048597,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,3300,0.02948564,0.025009,0.010385,0.022751,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,3400,0.0314826,0.022543,0.008833,0.02074,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,3500,0.04367696,0.045049,0.011033,0.043677,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,3600,0.03708316,0.027841,0.01261,0.024821,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,3700,0.03356012,0.028121,0.006393,0.027384,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,3800,0.07025125,0.04902,0.039301,0.029299,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,3900,0.03042525,0.030388,0.011427,0.028157,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,4000,0.02991274,0.025649,0.009664,0.023758,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,4100,0.02989186,0.026539,0.010853,0.024219,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,4200,0.03126413,0.02298,0.007162,0.021835,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,4300,0.03372725,0.03988,0.008722,0.038915,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,4400,0.02974147,0.022037,0.011262,0.018942,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,4500,0.02884869,0.023782,0.01088,0.021147,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,4600,0.03269237,0.036905,0.009485,0.035666,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,4700,0.03032906,0.027441,0.006531,0.026652,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,4800,0.02908935,0.027923,0.009098,0.0264,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,4900,0.04130078,0.044111,0.008511,0.043283,,,
cavity,autodiff,mlp,adam,0.001,0,50,none,multiseed_20260427,5000,0.03001186,0.025745,0.00899,0.024124,,,
