problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,100,0.17742883,0.052217,0.043783,0.028454,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,200,0.08364246,0.045855,0.033276,0.031551,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,300,0.0622495,0.048755,0.023057,0.042958,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,400,0.05406356,0.042741,0.016933,0.039244,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,500,0.05076265,0.041038,0.01413,0.038529,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,600,0.05967507,0.048775,0.013677,0.046818,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,700,0.0522286,0.026246,0.013072,0.02276,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,800,0.04408928,0.026238,0.010129,0.024204,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,900,0.04563772,0.028668,0.013804,0.025126,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,1000,0.25222474,0.086056,0.049028,0.070724,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,1100,0.11732531,0.040565,0.032559,0.024195,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,1200,0.06695487,0.02762,0.020041,0.019006,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,1300,0.05463453,0.030278,0.014662,0.026492,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,1400,0.04782427,0.040692,0.014425,0.03805,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,1500,0.04214183,0.041206,0.019009,0.03656,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,1600,0.0495996,0.026931,0.014816,0.02249,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,1700,0.04375779,0.035716,0.014448,0.032663,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,1800,0.03887842,0.04337,0.028197,0.032953,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,1900,0.04713253,0.025326,0.012989,0.021741,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,2000,0.04086312,0.031616,0.015317,0.027658,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,2100,0.10489366,0.053742,0.035699,0.040172,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,2200,0.04310609,0.029613,0.013717,0.026244,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,2300,0.03790513,0.032267,0.018967,0.026103,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,2400,0.0679516,0.034151,0.029056,0.017945,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,2500,0.04540807,0.02975,0.014146,0.026171,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,2600,0.04081328,0.035235,0.015222,0.031777,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,2700,0.03660255,0.032824,0.018729,0.026956,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,2800,0.15436164,0.045842,0.037756,0.026,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,2900,0.10068114,0.034422,0.019705,0.028224,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,3000,0.07416736,0.034913,0.01775,0.030064,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,3100,0.0554512,0.033223,0.016844,0.028637,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,3200,0.04515476,0.039825,0.01283,0.037702,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,3300,0.04311854,0.035023,0.012949,0.032541,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,3400,0.04149713,0.042985,0.012919,0.040998,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,3500,0.04021773,0.030934,0.01611,0.026408,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,3600,0.03830698,0.02608,0.014393,0.021749,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,3700,0.03679939,0.025657,0.014274,0.021319,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,3800,0.10889127,0.05645,0.036161,0.043347,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,3900,0.03951179,0.023668,0.013254,0.019609,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,4000,0.7149626,0.04557,0.031976,0.032467,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,4100,0.06111932,0.040245,0.033092,0.022905,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,4200,0.0458031,0.028743,0.015778,0.024025,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,4300,0.03993504,0.035645,0.015005,0.032333,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,4400,0.03716007,0.038772,0.01411,0.036114,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,4500,0.03848656,0.025479,0.01058,0.023178,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,4600,0.03593309,0.041741,0.013918,0.039353,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,4700,0.035258,0.030779,0.014216,0.027299,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,4800,0.06711125,0.050318,0.015991,0.04771,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,4900,0.14479388,0.041486,0.031751,0.026702,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,5000,0.05233676,0.028912,0.016982,0.0234,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,5100,0.04283141,0.035043,0.018461,0.029786,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,5200,0.03809474,0.03421,0.014102,0.031168,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,5300,0.16792995,0.102987,0.058994,0.084416,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,5400,0.0683056,0.038523,0.029051,0.025299,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,5500,0.04727799,0.035146,0.01559,0.031499,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,5600,0.04132587,0.034875,0.01771,0.030044,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,5700,0.03645839,0.033035,0.01595,0.028929,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,5800,0.21206921,0.054093,0.038938,0.037547,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,5900,0.15260281,0.042999,0.030316,0.030494,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,6000,0.11368617,0.035004,0.020186,0.028597,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,6100,0.0904867,0.035908,0.016025,0.032133,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,6200,0.07434617,0.040706,0.015997,0.037431,,,
cavity,autodiff,pirate-net,adam,0.001,0,50,none,multiseed_20260427,6300,0.06130901,0.040454,0.01596,0.037173,,,
