problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
cavity,can-pinn-faithful,mlp,adam,0.001,1,50,none,can_pinn_faithful_20260503,100,0.13976119,0.062618,0.054422,0.030972,,,
cavity,can-pinn-faithful,mlp,adam,0.001,1,50,none,can_pinn_faithful_20260503,200,0.02489276,0.041316,0.036412,0.019523,,,
cavity,can-pinn-faithful,mlp,adam,0.001,1,50,none,can_pinn_faithful_20260503,300,0.01951596,0.048686,0.035159,0.033678,,,
cavity,can-pinn-faithful,mlp,adam,0.001,1,50,none,can_pinn_faithful_20260503,400,0.00915295,0.06153,0.036745,0.049353,,,
cavity,can-pinn-faithful,mlp,adam,0.001,1,50,none,can_pinn_faithful_20260503,500,0.00787243,0.065853,0.032474,0.057289,,,
cavity,can-pinn-faithful,mlp,adam,0.001,1,50,none,can_pinn_faithful_20260503,600,0.00814563,0.07005,0.032509,0.06205,,,
cavity,can-pinn-faithful,mlp,adam,0.001,1,50,none,can_pinn_faithful_20260503,700,0.0124119,0.080576,0.035054,0.072551,,,
cavity,can-pinn-faithful,mlp,adam,0.001,1,50,none,can_pinn_faithful_20260503,800,0.00598255,0.093111,0.033481,0.086884,,,
cavity,can-pinn-faithful,mlp,adam,0.001,1,50,none,can_pinn_faithful_20260503,900,0.00614512,0.090299,0.032429,0.084275,,,
cavity,can-pinn-faithful,mlp,adam,0.001,1,50,none,can_pinn_faithful_20260503,1000,0.0064918,0.085844,0.031488,0.07986,,,
cavity,can-pinn-faithful,mlp,adam,0.001,1,50,none,can_pinn_faithful_20260503,1100,0.00917559,0.094116,0.038479,0.08589,,,
cavity,can-pinn-faithful,mlp,adam,0.001,1,50,none,can_pinn_faithful_20260503,1200,0.00546889,0.108576,0.036382,0.1023,,,
cavity,can-pinn-faithful,mlp,adam,0.001,1,50,none,can_pinn_faithful_20260503,1300,0.00560198,0.106102,0.036101,0.099772,,,
cavity,can-pinn-faithful,mlp,adam,0.001,1,50,none,can_pinn_faithful_20260503,1400,0.0064039,0.083141,0.028494,0.078105,,,
