problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
cavity,can-pinn-faithful,pirate-net,adam,0.001,23,50,none,can_pinn_faithful_20260503,100,0.14586312,0.060812,0.042367,0.043624,,,
cavity,can-pinn-faithful,pirate-net,adam,0.001,23,50,none,can_pinn_faithful_20260503,200,0.03188545,0.047469,0.030401,0.036456,,,
cavity,can-pinn-faithful,pirate-net,adam,0.001,23,50,none,can_pinn_faithful_20260503,300,0.02076626,0.05811,0.032806,0.047964,,,
cavity,can-pinn-faithful,pirate-net,adam,0.001,23,50,none,can_pinn_faithful_20260503,400,0.01399341,0.089346,0.021238,0.086785,,,
cavity,can-pinn-faithful,pirate-net,adam,0.001,23,50,none,can_pinn_faithful_20260503,500,0.01166164,0.102306,0.021712,0.099975,,,
cavity,can-pinn-faithful,pirate-net,adam,0.001,23,50,none,can_pinn_faithful_20260503,600,0.01338986,0.08226,0.023251,0.078906,,,
cavity,can-pinn-faithful,pirate-net,adam,0.001,23,50,none,can_pinn_faithful_20260503,700,0.00751876,0.250392,0.069416,0.240578,,,
cavity,can-pinn-faithful,pirate-net,adam,0.001,23,50,none,can_pinn_faithful_20260503,800,0.00766094,0.201457,0.045766,0.19619,,,
cavity,can-pinn-faithful,pirate-net,adam,0.001,23,50,none,can_pinn_faithful_20260503,900,0.0075962,0.179157,0.038249,0.175027,,,
cavity,can-pinn-faithful,pirate-net,adam,0.001,23,50,none,can_pinn_faithful_20260503,1000,0.00588757,0.333623,0.099972,0.318292,,,
cavity,can-pinn-faithful,pirate-net,adam,0.001,23,50,none,can_pinn_faithful_20260503,1100,0.00793504,0.150614,0.042307,0.14455,,,
cavity,can-pinn-faithful,pirate-net,adam,0.001,23,50,none,can_pinn_faithful_20260503,1200,0.00547763,0.326652,0.102443,0.310172,,,
cavity,can-pinn-faithful,pirate-net,adam,0.001,23,50,none,can_pinn_faithful_20260503,1300,0.00997388,0.091946,0.025858,0.088236,,,
cavity,can-pinn-faithful,pirate-net,adam,0.001,23,50,none,can_pinn_faithful_20260503,1400,0.00517048,0.303639,0.078027,0.293443,,,
cavity,can-pinn-faithful,pirate-net,adam,0.001,23,50,none,can_pinn_faithful_20260503,1500,0.00654822,0.216971,0.034414,0.214224,,,
cavity,can-pinn-faithful,pirate-net,adam,0.001,23,50,none,can_pinn_faithful_20260503,1600,0.00454315,0.343155,0.067402,0.336471,,,
cavity,can-pinn-faithful,pirate-net,adam,0.001,23,50,none,can_pinn_faithful_20260503,1700,0.00436136,0.348745,0.057893,0.343906,,,
cavity,can-pinn-faithful,pirate-net,adam,0.001,23,50,none,can_pinn_faithful_20260503,1800,0.00422707,0.344345,0.040305,0.341978,,,
cavity,can-pinn-faithful,pirate-net,adam,0.001,23,50,none,can_pinn_faithful_20260503,1900,0.01718832,0.065126,0.038903,0.05223,,,
cavity,can-pinn-faithful,pirate-net,adam,0.001,23,50,none,can_pinn_faithful_20260503,2000,0.00483712,0.251234,0.094682,0.232709,,,
