problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,100,0.16689466,0.024504,0.021285,0.01214,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,200,0.05545272,0.037391,0.027293,0.025558,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,300,0.04213776,0.038861,0.019687,0.033505,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,400,0.03750833,0.038571,0.017602,0.03432,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,500,0.03552354,0.038455,0.016524,0.034724,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,600,0.03611105,0.045992,0.02116,0.040835,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,700,0.0360034,0.040826,0.014348,0.038222,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,800,0.03712204,0.044602,0.010106,0.043442,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,900,0.03799443,0.028874,0.008982,0.027442,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,1000,0.03313014,0.030911,0.008953,0.029586,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,1100,0.03222645,0.028063,0.008489,0.026748,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,1200,0.03495184,0.020546,0.008021,0.018915,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,1300,0.03348085,0.027593,0.010549,0.025497,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,1400,0.03294592,0.03522,0.014422,0.032132,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,1500,0.03031395,0.024757,0.012446,0.021401,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,1600,0.03350239,0.048022,0.014778,0.045691,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,1700,0.03474313,0.040601,0.008011,0.039803,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,1800,0.03038368,0.025085,0.01108,0.022505,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,1900,0.02997963,0.022645,0.007414,0.021397,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,2000,0.03645013,0.0432,0.01657,0.039895,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,2100,0.02935063,0.026274,0.008052,0.02501,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,2200,0.03738279,0.043081,0.008003,0.042331,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,2300,0.0347712,0.031566,0.015467,0.027516,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,2400,0.03026073,0.022252,0.008696,0.020482,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,2500,0.02911217,0.028773,0.011696,0.026289,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,2600,0.03168979,0.024519,0.012056,0.02135,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,2700,0.02942222,0.027948,0.008807,0.026524,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,2800,0.03012816,0.020712,0.009787,0.018254,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,2900,0.02887383,0.024707,0.009584,0.022773,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,3000,0.03839262,0.043312,0.010236,0.042085,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,3100,0.02882808,0.025183,0.011842,0.022224,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,3200,0.030803,0.025949,0.010939,0.023531,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,3300,0.0308743,0.025267,0.012657,0.021868,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,3400,0.03047391,0.027163,0.014279,0.023107,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,3500,0.03591412,0.039835,0.017824,0.035625,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,3600,0.03514442,0.034957,0.015957,0.031103,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,3700,0.02926652,0.027562,0.012931,0.02434,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,3800,0.03194202,0.040348,0.02583,0.030995,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,3900,0.03049313,0.023022,0.011102,0.020168,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,4000,0.03369893,0.024921,0.010896,0.022413,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,4100,0.02984244,0.033223,0.024241,0.022719,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,4200,0.02864974,0.029193,0.01512,0.024972,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,4300,0.0287362,0.027221,0.011475,0.024684,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,4400,0.02942882,0.021883,0.012191,0.018173,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,4500,0.03025302,0.029107,0.016796,0.023772,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,4600,0.03011644,0.031279,0.013376,0.028275,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,4700,0.02941222,0.029098,0.018255,0.022659,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,4800,0.02908456,0.035407,0.0136,0.032691,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,4900,0.03211312,0.028032,0.011566,0.025535,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,5000,0.02833363,0.029709,0.016048,0.025002,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,5100,0.03208416,0.021785,0.01172,0.018363,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,5200,0.02935671,0.03297,0.014863,0.02943,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,5300,0.02813029,0.028224,0.015163,0.023806,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,5400,0.02862745,0.035424,0.012853,0.03301,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,5500,0.02909215,0.029156,0.014989,0.025007,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,5600,0.03513922,0.029018,0.015311,0.02465,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,5700,0.04697129,0.034449,0.019706,0.028256,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,5800,0.02788219,0.023682,0.012475,0.02013,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,5900,0.03066583,0.032837,0.013549,0.029912,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,6000,0.02796203,0.028139,0.015566,0.023442,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,6100,0.02795883,0.025311,0.012151,0.022203,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,6200,0.02923789,0.030541,0.015895,0.026079,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,6300,0.02742907,0.029053,0.015826,0.024364,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,6400,0.02808622,0.026036,0.012867,0.022634,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,6500,0.02854714,0.034274,0.015882,0.030372,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,6600,0.02991965,0.057891,0.010431,0.056944,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,6700,0.02754169,0.031292,0.012191,0.028819,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,6800,0.02729999,0.029624,0.016449,0.024638,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,6900,0.02739362,0.027573,0.014067,0.023715,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,7000,0.02723739,0.03389,0.014075,0.030829,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,7100,0.0274755,0.02893,0.013934,0.025354,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,7200,0.02738504,0.029251,0.013814,0.025783,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,7300,0.02789889,0.03109,0.016793,0.026165,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,7400,0.02728294,0.033137,0.020354,0.026149,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,7500,0.02654722,0.029242,0.015464,0.024818,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,7600,0.02852481,0.031769,0.016289,0.027276,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,7700,0.02674336,0.034274,0.019215,0.028381,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,7800,0.0266722,0.028128,0.010639,0.026038,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,7900,0.02887366,0.035694,0.016954,0.03141,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,8000,0.02743113,0.02808,0.01525,0.023578,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,8100,0.02816142,0.040005,0.023689,0.032237,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,8200,0.0307746,0.045576,0.017521,0.042074,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,8300,0.02747553,0.029665,0.014948,0.025624,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,8400,0.0278866,0.033308,0.016323,0.029035,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,8500,0.02642803,0.034465,0.018459,0.029105,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,8600,0.02594136,0.030255,0.014801,0.026387,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,8700,0.02701689,0.036149,0.016603,0.03211,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,8800,0.0273065,0.035113,0.017981,0.03016,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,8900,0.03099291,0.033202,0.021456,0.025337,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,9000,0.02635382,0.030046,0.012656,0.02725,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,9100,0.02903898,0.041909,0.024949,0.033673,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,9200,0.02676662,0.031475,0.01508,0.027628,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,9300,0.02673368,0.036388,0.024642,0.026775,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,9400,0.02719848,0.032219,0.014316,0.028864,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,9500,0.0258457,0.031183,0.016355,0.02655,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,9600,0.02541315,0.032639,0.014345,0.029317,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,9700,0.0251291,0.030873,0.013608,0.027712,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,9800,0.03121053,0.043366,0.022976,0.036779,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,9900,0.02799267,0.030949,0.014389,0.0274,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,10000,0.03930164,0.045203,0.027512,0.035866,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,10100,0.02952141,0.035407,0.016681,0.031231,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,10200,0.02772476,0.03927,0.016021,0.035853,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,10300,0.02841184,0.0399,0.021143,0.033837,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,10400,0.0275929,0.035405,0.014007,0.032517,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,10500,0.02513167,0.03262,0.01629,0.028261,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,10600,0.0262754,0.034147,0.011854,0.032023,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,10700,0.025111,0.034463,0.019281,0.028564,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,10800,0.02533124,0.031167,0.01142,0.029,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,10900,0.02409972,0.028595,0.012453,0.025741,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,11000,0.02657651,0.031322,0.015312,0.027324,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,11100,0.02422585,0.029296,0.012776,0.026364,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,11200,0.02432253,0.03338,0.013462,0.030545,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,11300,0.02387724,0.029331,0.012695,0.026442,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,11400,0.02367339,0.027886,0.011713,0.025307,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,11500,0.02357653,0.029329,0.012546,0.026511,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,11600,0.02518044,0.033873,0.021281,0.026353,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,11700,0.02388076,0.029382,0.014263,0.025687,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,11800,0.02825044,0.044945,0.027534,0.035524,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,11900,0.02712336,0.038642,0.020875,0.032518,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,12000,0.02345043,0.02774,0.011363,0.025306,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,12100,0.02343573,0.029732,0.012845,0.026814,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,12200,0.02481173,0.031235,0.013978,0.027933,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,12300,0.02518871,0.031714,0.010145,0.030048,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,12400,0.02395168,0.029895,0.013386,0.02673,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,12500,0.02540401,0.032244,0.016669,0.027601,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,12600,0.02354898,0.028727,0.011691,0.026241,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,12700,0.0239942,0.027383,0.013167,0.02401,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,12800,0.03042538,0.03446,0.017977,0.029399,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,12900,0.0273368,0.033388,0.022292,0.024857,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,13000,0.02604408,0.035855,0.014849,0.032636,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,13100,0.02388857,0.034394,0.020149,0.027874,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,13200,0.02555989,0.03711,0.024707,0.02769,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,13300,0.02362411,0.029148,0.011245,0.026892,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,13400,0.02677022,0.030538,0.015579,0.026266,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,13500,0.02415016,0.033386,0.021172,0.025814,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,13600,0.02262618,0.027841,0.012409,0.024923,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,13700,0.02422783,0.03207,0.012156,0.029677,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,13800,0.02992716,0.032406,0.014815,0.028822,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,13900,0.0236904,0.032451,0.013044,0.029714,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,14000,0.02309459,0.031259,0.017266,0.026058,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,14100,0.0225445,0.028925,0.012675,0.026,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,14200,0.02425916,0.040151,0.014102,0.037593,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,14300,0.0235539,0.028029,0.012588,0.025043,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,14400,0.02527128,0.04268,0.023485,0.035638,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,14500,0.02361363,0.033275,0.012894,0.030675,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,14600,0.02505749,0.025537,0.009857,0.023558,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,14700,0.0292096,0.029113,0.01207,0.026493,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,14800,0.02241722,0.028182,0.011619,0.025675,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,14900,0.02288215,0.033231,0.013146,0.030521,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,15000,0.02429384,0.041249,0.024123,0.033461,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,15100,0.02366831,0.031453,0.020589,0.023778,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,15200,0.02602212,0.032112,0.011258,0.030073,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,15300,0.02461056,0.031134,0.013294,0.028153,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,15400,0.02311137,0.034456,0.023536,0.025165,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,15500,0.02400362,0.031515,0.014202,0.028134,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,15600,0.0230013,0.032265,0.012294,0.029831,,,
cavity,chebyshev-pinn,mlp,adam,0.001,7,50,none,canpinn_hpc_20260428,15700,0.02335883,0.036639,0.01808,0.031867,,,
