problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,100,0.18560712,0.038792,0.028132,0.026709,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,200,0.08056604,0.04448,0.03034,0.032526,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,300,0.06131241,0.049895,0.019669,0.045855,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,400,0.05302116,0.045347,0.016404,0.042276,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,500,0.04997414,0.036754,0.01807,0.032005,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,600,0.05075178,0.036698,0.012717,0.034425,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,700,0.06033133,0.034505,0.020379,0.027845,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,800,0.04135048,0.035887,0.016045,0.0321,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,900,0.04742703,0.032109,0.012543,0.029558,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,1000,0.03976225,0.035413,0.017094,0.031014,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,1100,0.06190048,0.02574,0.013718,0.021779,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,1200,0.04378027,0.02975,0.012596,0.026952,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,1300,0.13254905,0.143168,0.116733,0.082887,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,1400,0.0498555,0.025396,0.01193,0.02242,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,1500,0.04223106,0.031554,0.013024,0.02874,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,1600,0.25623995,0.076048,0.020872,0.073128,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,1700,0.05371913,0.021301,0.012659,0.017132,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,1800,0.04255961,0.029974,0.011804,0.027552,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,1900,0.03706996,0.030468,0.013528,0.0273,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,2000,0.13997084,0.060192,0.051098,0.031813,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,2100,0.056871,0.027764,0.019669,0.019595,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,2200,0.04482021,0.030436,0.013278,0.027387,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,2300,0.03878793,0.033628,0.013306,0.030883,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,2400,0.04150305,0.03077,0.011012,0.028733,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,2500,0.05806204,0.053575,0.036201,0.039494,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,2600,0.03672132,0.028618,0.011053,0.026398,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,2700,0.05600375,0.033927,0.021293,0.026413,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,2800,0.04003749,0.031201,0.010687,0.029313,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,2900,0.03410118,0.028056,0.012798,0.024967,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,3000,0.1767609,0.05172,0.035235,0.037861,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,3100,0.11759146,0.046723,0.033386,0.032686,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,3200,0.08454312,0.030821,0.020168,0.023306,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,3300,0.06545435,0.036799,0.026897,0.025113,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,3400,0.05329124,0.041196,0.028016,0.030203,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,3500,0.05207,0.048595,0.025916,0.041107,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,3600,0.0429671,0.03781,0.020967,0.031464,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,3700,0.04039926,0.040652,0.017951,0.036474,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,3800,0.03866877,0.035386,0.016672,0.031212,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,3900,0.03654835,0.03132,0.016474,0.026638,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,4000,0.03790367,0.028969,0.015715,0.024336,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,4100,0.04063942,0.032452,0.017193,0.027523,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,4200,0.03578399,0.028515,0.016141,0.023507,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,4300,0.04460209,0.063489,0.016003,0.061439,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,4400,0.05695074,0.037021,0.021326,0.030261,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,4500,0.03569987,0.026201,0.014467,0.021845,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,4600,0.03442748,0.026932,0.014428,0.022741,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,4700,0.04355551,0.02656,0.015525,0.02155,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,4800,0.03663033,0.027171,0.014805,0.022784,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,4900,0.03308959,0.028059,0.014599,0.023962,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,5000,0.06999901,0.048495,0.043852,0.020707,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,5100,0.04034422,0.025601,0.017861,0.018341,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,5200,0.03515438,0.0248,0.014489,0.020128,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,5300,0.2040118,0.053389,0.040463,0.03483,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,5400,0.06509947,0.02885,0.019657,0.021116,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,5500,0.04645307,0.026591,0.019787,0.017764,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,5600,0.03987446,0.0304,0.017608,0.024782,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,5700,0.03656879,0.031633,0.015988,0.027295,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,5800,0.08803905,0.043919,0.039468,0.019265,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,5900,0.03976575,0.025339,0.013742,0.021289,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,6000,0.03559469,0.028621,0.015075,0.02433,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,6100,0.29191694,0.075421,0.063107,0.041302,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,6200,0.15562581,0.047199,0.033517,0.033232,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,6300,0.11843165,0.035432,0.024427,0.025667,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,6400,0.09347208,0.037587,0.025962,0.02718,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,6500,0.06936514,0.042784,0.022985,0.036085,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,6600,0.05392406,0.050301,0.012974,0.048599,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,6700,0.04711731,0.042555,0.01066,0.041198,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,6800,0.04387952,0.033104,0.01058,0.031368,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,6900,0.0405489,0.036335,0.011013,0.034626,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,7000,0.04105504,0.027598,0.012477,0.024617,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,7100,0.03730293,0.024147,0.014681,0.019171,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,7200,0.03664461,0.024378,0.013595,0.020235,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,7300,0.03949483,0.025502,0.015297,0.020405,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,7400,0.03506947,0.028104,0.015321,0.02356,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,7500,0.0727201,0.039132,0.027338,0.027999,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,7600,0.04966617,0.03453,0.018124,0.029391,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,7700,0.04142516,0.029095,0.014229,0.025379,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,7800,0.03676213,0.033143,0.014845,0.029633,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,7900,0.03589793,0.04617,0.01678,0.043013,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,8000,0.0447421,0.030628,0.014076,0.027202,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,8100,0.0377567,0.029193,0.01519,0.024929,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,8200,0.03365144,0.02839,0.018364,0.021651,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,8300,0.03964249,0.028905,0.012587,0.026021,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,8400,0.03402916,0.027084,0.017542,0.020636,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,8500,0.07784355,0.210535,0.036239,0.207393,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,8600,0.04654115,0.029185,0.015159,0.02494,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,8700,0.03906975,0.02886,0.011871,0.026306,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,8800,0.03469809,0.027149,0.013904,0.023319,,,
cavity,chebyshev-pinn,pirate-net,adam,0.001,23,50,none,canpinn_hpc_20260428,8900,0.03181779,0.026331,0.017876,0.019333,,,
