problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,100,0.00378848,0.025966,0.010269,0.023849,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,200,0.00329616,0.026809,0.009585,0.025037,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,300,0.0031811,0.027732,0.011984,0.025009,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,400,0.00312184,0.027476,0.01205,0.024692,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,500,0.00300276,0.028238,0.013766,0.024655,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,600,0.00293114,0.02856,0.013364,0.02524,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,700,0.00285316,0.032082,0.018847,0.025963,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,800,0.00268312,0.049465,0.037216,0.032586,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,900,0.002333,0.10828,0.094861,0.052211,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,1000,0.00170604,0.196084,0.18056,0.076466,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,1100,0.00135791,0.259891,0.239109,0.101836,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,1200,0.00119063,0.289572,0.265256,0.116152,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,1300,0.00099116,0.480817,0.436503,0.201618,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,1400,0.00076196,0.487014,0.435057,0.218878,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,1500,0.00064309,0.553021,0.49019,0.25602,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,1600,0.00057271,0.643182,0.569546,0.298831,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,1700,0.0005043,0.753133,0.666896,0.349941,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,1800,0.00045408,0.850063,0.761879,0.377024,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,1900,0.00041217,0.930265,0.842175,0.395137,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,2000,0.00038191,1.001638,0.904807,0.429654,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,2100,0.00035371,1.070024,0.957959,0.476724,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,2200,0.00032899,1.106697,0.984907,0.504716,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,2300,0.00030366,1.16311,1.013589,0.570494,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,2400,0.00028426,1.204896,1.009877,0.657207,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,2500,0.00026686,1.201358,0.986327,0.685873,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,2600,0.00025921,1.195195,0.977653,0.687521,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,2700,0.0002592,1.195175,0.977633,0.687514,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,2800,0.0002592,1.195172,0.977631,0.687513,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,2900,0.00025919,1.19517,0.977628,0.687512,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,3000,0.00025919,1.19517,0.977628,0.687512,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,3100,0.00025919,1.19517,0.977628,0.687512,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,3200,0.00025919,1.19517,0.977628,0.687512,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,3300,0.00025919,1.19517,0.977628,0.687512,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,3400,0.00025919,1.19517,0.977628,0.687512,,,
cavity,dtpinn,mlp,lbfgs,0.04,42,50,none,multiseed_20260427,3500,0.00025919,1.19517,0.977628,0.687512,,,
