problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,100,0.00404571,0.022643,0.008286,0.021072,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,200,0.00347823,0.025712,0.007829,0.024491,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,300,0.00321553,0.026055,0.009576,0.024231,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,400,0.00308474,0.028415,0.013562,0.02497,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,500,0.00291665,0.032177,0.018544,0.026296,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,600,0.00273971,0.05851,0.048025,0.033422,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,700,0.00249945,0.084347,0.073215,0.041881,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,800,0.00208983,0.19661,0.182278,0.073692,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,900,0.0017366,0.31544,0.301971,0.091191,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,1000,0.00142399,0.445904,0.43259,0.108147,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,1100,0.00124009,0.48535,0.470152,0.120505,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,1200,0.00113443,0.682658,0.663602,0.160171,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,1300,0.00105024,0.739998,0.712794,0.198801,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,1400,0.00098899,0.883848,0.854062,0.227522,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,1500,0.00092473,1.002345,0.977078,0.223639,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,1600,0.00087303,1.051669,1.02851,0.21949,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,1700,0.00081906,1.106128,1.083295,0.223585,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,1800,0.00076055,1.114139,1.086544,0.24643,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,1900,0.0007076,1.150648,1.116789,0.27708,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,2000,0.00064884,1.217571,1.176494,0.313596,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,2100,0.00059654,1.221488,1.176256,0.329324,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,2200,0.00056018,1.320999,1.268825,0.36759,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,2300,0.00053157,1.402259,1.345884,0.393607,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,2400,0.00050768,1.471049,1.412607,0.410518,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,2500,0.00048376,1.539473,1.481545,0.418334,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,2600,0.00046126,1.654703,1.596884,0.433593,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,2700,0.00043706,1.737815,1.677074,0.455436,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,2800,0.00041656,1.808176,1.739927,0.492094,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,2900,0.00039712,1.912012,1.834928,0.537428,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,3000,0.00037842,1.957116,1.879329,0.546286,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,3100,0.00036006,1.998704,1.914154,0.57518,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,3200,0.00035796,2.004652,1.919614,0.577679,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,3300,0.00035795,2.00466,1.919625,0.57767,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,3400,0.00035795,2.004666,1.919634,0.577662,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,3500,0.00035794,2.004677,1.919646,0.577657,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,3600,0.00035794,2.004691,1.919662,0.577654,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,3700,0.00035793,2.004707,1.919679,0.577653,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,3800,0.00035793,2.004725,1.919697,0.577653,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,3900,0.00035793,2.004726,1.919699,0.577653,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,4000,0.00035793,2.004726,1.919699,0.577653,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,4100,0.00035793,2.004726,1.919699,0.577653,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,4200,0.00035793,2.004726,1.919699,0.577653,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,4300,0.00035793,2.004726,1.919699,0.577653,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,4400,0.00035793,2.004726,1.919699,0.577653,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,4500,0.00035793,2.004726,1.919699,0.577653,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,4600,0.00035793,2.004726,1.919699,0.577653,,,
cavity,dtpinn,pirate-net,lbfgs,0.04,0,50,none,multiseed_20260427,4700,0.00035793,2.004726,1.919699,0.577653,,,
