problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,100,0.18176444,0.038213,0.033201,0.018919,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,200,0.08027456,0.030761,0.027038,0.014669,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,300,0.0620634,0.043762,0.0314,0.030481,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,400,0.04690498,0.034159,0.018738,0.028561,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,500,0.05110941,0.053499,0.042874,0.032001,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,600,0.04753088,0.044372,0.017265,0.040875,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,700,0.0397699,0.033658,0.014935,0.030163,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,800,0.04296497,0.034004,0.012846,0.031484,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,900,0.05371938,0.027128,0.011295,0.024664,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,1000,0.03597644,0.026275,0.009796,0.024381,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,1100,0.03534439,0.036324,0.009749,0.034992,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,1200,0.03396521,0.026329,0.009444,0.024577,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,1300,0.03661167,0.043045,0.013299,0.040939,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,1400,0.04788131,0.054597,0.011718,0.053325,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,1500,0.06386077,0.03058,0.007628,0.029614,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,1600,0.03568789,0.026866,0.009127,0.025268,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,1700,0.03198592,0.02327,0.008605,0.02162,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,1800,0.03291167,0.025435,0.009332,0.023661,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,1900,0.03429339,0.024968,0.012736,0.021475,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,2000,0.03378348,0.028971,0.009215,0.027466,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,2100,0.0326299,0.024313,0.008117,0.022918,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,2200,0.03219654,0.03098,0.008373,0.029827,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,2300,0.03564866,0.029105,0.012272,0.026391,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,2400,0.03255547,0.025305,0.012008,0.022274,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,2500,0.03773087,0.039137,0.02533,0.029834,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,2600,0.03283513,0.023246,0.006834,0.022219,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,2700,0.03379694,0.021831,0.008323,0.020182,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,2800,0.03963087,0.021808,0.010162,0.019296,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,2900,0.03004073,0.024312,0.010667,0.021847,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,3000,0.05924258,0.064311,0.00965,0.063583,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,3100,0.03024617,0.02953,0.012977,0.026525,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,3200,0.03139244,0.025445,0.010396,0.023224,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,3300,0.05317429,0.05879,0.048348,0.033448,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,3400,0.03095711,0.03327,0.013171,0.030551,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,3500,0.03091184,0.024553,0.010979,0.021961,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,3600,0.0306762,0.027735,0.009914,0.025903,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,3700,0.03220496,0.022878,0.010028,0.020563,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,3800,0.03687653,0.034202,0.0104,0.032583,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,3900,0.03295231,0.020591,0.009306,0.018368,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,4000,0.03233539,0.022766,0.010269,0.020318,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,4100,0.03540497,0.027213,0.013679,0.023526,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,4200,0.03369617,0.028369,0.015052,0.024046,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,4300,0.03111863,0.025083,0.013203,0.021327,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,4400,0.05605129,0.060792,0.049206,0.035701,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,4500,0.03100047,0.02874,0.01243,0.025914,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,4600,0.03949306,0.030564,0.020572,0.022603,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,4700,0.05604455,0.08161,0.020001,0.079121,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,4800,0.03188801,0.02692,0.012746,0.023711,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,4900,0.03067786,0.024123,0.01208,0.02088,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,5000,0.04475982,0.028348,0.011167,0.026056,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,5100,0.02926609,0.022793,0.012214,0.019244,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,5200,0.03651708,0.025102,0.014868,0.020226,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,5300,0.03248448,0.025976,0.01247,0.022787,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,5400,0.02961668,0.025056,0.011186,0.02242,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,5500,0.02954742,0.024244,0.01351,0.020132,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,5600,0.03311666,0.033549,0.013313,0.030795,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,5700,0.03166749,0.022286,0.012444,0.018488,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,5800,0.02872607,0.024601,0.012285,0.021314,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,5900,0.03037279,0.021965,0.012538,0.018035,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,6000,0.02882757,0.028325,0.012801,0.025267,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,6100,0.03579779,0.045901,0.015214,0.043306,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,6200,0.0349704,0.027114,0.020934,0.017232,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,6300,0.06400146,0.024716,0.01238,0.021392,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,6400,0.03012838,0.023971,0.015467,0.018313,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,6500,0.03046135,0.02186,0.014014,0.016777,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,6600,0.04298455,0.032319,0.02173,0.023923,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,6700,0.02883114,0.026144,0.014303,0.021884,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,6800,0.02917987,0.025671,0.013286,0.021966,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,6900,0.02840396,0.02536,0.013953,0.021177,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,7000,0.02928019,0.030663,0.015641,0.026374,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,7100,0.03658252,0.024799,0.015349,0.019478,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,7200,0.03817293,0.022354,0.014293,0.017188,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,7300,0.02980822,0.036454,0.024619,0.026884,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,7400,0.02775948,0.027582,0.016736,0.021925,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,7500,0.02884224,0.028015,0.016843,0.022387,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,7600,0.03053817,0.030872,0.015466,0.026719,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,7700,0.02859882,0.026964,0.0171,0.020849,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,7800,0.02962434,0.034054,0.015399,0.030373,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,7900,0.02893836,0.027492,0.013905,0.023717,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,8000,0.03097677,0.031349,0.017231,0.026189,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,8100,0.02758973,0.027725,0.015557,0.022949,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,8200,0.02777792,0.026945,0.014229,0.022881,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,8300,0.04296919,0.030876,0.018016,0.025074,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,8400,0.03193074,0.030762,0.016531,0.025942,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,8500,0.05510918,0.025744,0.019727,0.016541,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,8600,0.03285259,0.034681,0.018675,0.029223,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,8700,0.03295778,0.033314,0.014697,0.029896,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,8800,0.03022838,0.028645,0.0157,0.023959,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,8900,0.03090938,0.027726,0.014684,0.023519,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,9000,0.07140757,0.059937,0.026715,0.053653,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,9100,0.03392417,0.03048,0.019242,0.023639,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,9200,0.02995129,0.030688,0.020473,0.02286,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,9300,0.03035061,0.0284,0.018295,0.021723,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,9400,0.02907206,0.029055,0.017601,0.023117,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,9500,0.04109671,0.052258,0.016584,0.049557,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,9600,0.02952786,0.028226,0.018607,0.021225,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,9700,0.02810554,0.031865,0.017048,0.026921,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,9800,0.02950896,0.029102,0.01724,0.023446,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,9900,0.04053855,0.035343,0.022142,0.027547,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,10000,0.02726398,0.028877,0.017404,0.023044,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,10100,0.02697614,0.027373,0.01667,0.021711,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,10200,0.02757397,0.030928,0.01537,0.026839,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,10300,0.02698112,0.029646,0.015384,0.025342,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,10400,0.02640671,0.027322,0.015469,0.022521,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,10500,0.02890829,0.032608,0.014283,0.029313,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,10600,0.0319625,0.033184,0.015631,0.029272,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,10700,0.04869103,0.027652,0.017624,0.021308,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,10800,0.02676302,0.030045,0.018653,0.023554,,,
cavity,ropinn,mlp,adam,0.001,1,50,none,multiseed_20260427,10900,0.02604675,0.02727,0.015468,0.022459,,,
