problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,100,0.17743251,0.052203,0.043775,0.028442,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,200,0.08406557,0.045433,0.030206,0.033937,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,300,0.06366208,0.047514,0.02331,0.041404,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,400,0.0538576,0.045053,0.016389,0.041966,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,500,0.04945529,0.048481,0.012267,0.046904,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,600,0.04781061,0.031609,0.010821,0.029699,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,700,0.04490676,0.029954,0.012324,0.027302,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,800,0.04640369,0.047093,0.014301,0.04487,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,900,0.04658759,0.02127,0.011308,0.018015,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,1000,0.03786116,0.028053,0.012577,0.025076,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,1100,0.07219043,0.035341,0.022468,0.02728,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,1200,0.05093721,0.034791,0.016351,0.030709,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,1300,0.04479585,0.039646,0.015219,0.036609,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,1400,0.03914501,0.033251,0.017044,0.02855,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,1500,0.05834966,0.031251,0.019489,0.02443,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,1600,0.04393583,0.031632,0.013948,0.028391,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,1700,0.03818024,0.032438,0.014709,0.028911,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,1800,0.05612555,0.029486,0.01833,0.023097,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,1900,0.04399655,0.034538,0.014092,0.031532,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,2000,0.03964174,0.035735,0.014128,0.032824,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,2100,0.81727958,0.031195,0.025857,0.017452,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,2200,0.15538807,0.041435,0.034787,0.022512,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,2300,0.11534301,0.036999,0.02499,0.027284,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,2400,0.09432798,0.035308,0.022912,0.026864,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,2500,0.07516672,0.034485,0.022238,0.026356,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,2600,0.05876686,0.036567,0.021037,0.02991,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,2700,0.04988406,0.043687,0.01453,0.0412,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,2800,0.04712747,0.041831,0.015257,0.03895,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,2900,0.04322801,0.040095,0.01467,0.037315,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,3000,0.04267852,0.044988,0.012692,0.043161,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,3100,0.04033418,0.039743,0.012086,0.037861,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,3200,0.04948079,0.024113,0.011945,0.020946,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,3300,0.03706801,0.037532,0.011698,0.035662,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,3400,0.03716424,0.036288,0.011174,0.034525,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,3500,0.0408258,0.036024,0.01505,0.03273,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,3600,0.03553161,0.030254,0.011838,0.027842,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,3700,0.04325849,0.027609,0.01687,0.021856,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,3800,0.0340225,0.031657,0.011333,0.029559,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,3900,0.04508057,0.048004,0.020936,0.043198,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,4000,0.03960724,0.0399,0.010158,0.038585,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,4100,0.041496,0.032657,0.013393,0.029784,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,4200,0.03232857,0.027993,0.010576,0.025918,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,4300,0.04750585,0.034186,0.01131,0.032261,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,4400,0.03370337,0.030892,0.011354,0.02873,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,4500,0.03291861,0.028313,0.010497,0.026295,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,4600,0.03477102,0.031052,0.012649,0.028359,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,4700,0.03264647,0.029181,0.010996,0.02703,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,4800,0.03114029,0.031642,0.011728,0.029388,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,4900,0.03240591,0.029732,0.01146,0.027435,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,5000,0.02993844,0.030064,0.011848,0.027631,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,5100,0.02974136,0.029096,0.011965,0.026523,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,5200,0.03233767,0.035601,0.012661,0.033274,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,5300,0.03192114,0.027748,0.010027,0.025872,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,5400,0.0316758,0.033119,0.013084,0.030425,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,5500,0.03252073,0.033154,0.011997,0.030907,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,5600,0.02857291,0.030328,0.011167,0.028197,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,5700,0.03217668,0.032088,0.011332,0.03002,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,5800,0.03479211,0.031641,0.011551,0.029457,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,5900,0.04753764,0.070697,0.025328,0.066004,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,6000,0.02842692,0.030887,0.012526,0.028233,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,6100,0.02884301,0.030768,0.012018,0.028323,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,6200,0.0309721,0.037786,0.01416,0.035033,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,6300,0.03053139,0.033699,0.013104,0.031047,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,6400,0.02826598,0.030802,0.01034,0.029015,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,6500,0.0284801,0.03093,0.01102,0.0289,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,6600,0.03263596,0.036005,0.013449,0.033398,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,6700,0.03293918,0.03244,0.011106,0.03048,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,6800,0.03194674,0.041559,0.015538,0.038545,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,6900,0.02887615,0.030483,0.011377,0.02828,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,7000,0.02977857,0.031245,0.009835,0.029656,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,7100,0.02858192,0.032079,0.009478,0.030647,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,7200,0.02683036,0.030737,0.010342,0.028945,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,7300,0.03536929,0.042064,0.022195,0.035732,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,7400,0.02721559,0.031185,0.012101,0.028741,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,7500,0.02875402,0.031826,0.011444,0.029697,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,7600,0.03282896,0.032949,0.010829,0.031119,,,
cavity,ropinn,pirate-net,adam,0.001,0,50,none,multiseed_20260427,7700,0.02642778,0.030941,0.009346,0.029496,,,
