problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
cavity,sage,mlp,adam,0.001,42,50,none,multiseed_20260427,100,0.1855035,0.022753,0.019261,0.012113,,,
cavity,sage,mlp,adam,0.001,42,50,none,multiseed_20260427,200,0.06038275,0.033409,0.023969,0.023273,,,
cavity,sage,mlp,adam,0.001,42,50,none,multiseed_20260427,300,0.0440127,0.038126,0.019888,0.032528,,,
cavity,sage,mlp,adam,0.001,42,50,none,multiseed_20260427,400,0.04318361,0.04119,0.020263,0.035862,,,
cavity,sage,mlp,adam,0.001,42,50,none,multiseed_20260427,500,0.04165424,0.041342,0.014991,0.038528,,,
cavity,sage,mlp,adam,0.001,42,50,none,multiseed_20260427,600,0.03762515,0.024731,0.01515,0.019547,,,
cavity,sage,mlp,adam,0.001,42,50,none,multiseed_20260427,700,0.05604794,0.029347,0.023279,0.017871,,,
cavity,sage,mlp,adam,0.001,42,50,none,multiseed_20260427,800,0.03440247,0.027167,0.011736,0.024502,,,
cavity,sage,mlp,adam,0.001,42,50,none,multiseed_20260427,900,0.06883436,0.050621,0.038842,0.032461,,,
cavity,sage,mlp,adam,0.001,42,50,none,multiseed_20260427,1000,0.0345359,0.024004,0.011891,0.020851,,,
cavity,sage,mlp,adam,0.001,42,50,none,multiseed_20260427,1100,0.03440141,0.024802,0.012381,0.02149,,,
cavity,sage,mlp,adam,0.001,42,50,none,multiseed_20260427,1200,0.03207017,0.023826,0.010566,0.021355,,,
cavity,sage,mlp,adam,0.001,42,50,none,multiseed_20260427,1300,0.03148781,0.028257,0.011163,0.025959,,,
cavity,sage,mlp,adam,0.001,42,50,none,multiseed_20260427,1400,0.04734728,0.039204,0.012217,0.037252,,,
cavity,sage,mlp,adam,0.001,42,50,none,multiseed_20260427,1500,0.03377228,0.039438,0.010548,0.038001,,,
