problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,100,0.18560712,0.038792,0.028132,0.026709,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,200,0.08062964,0.044543,0.030388,0.032568,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,300,0.06104733,0.049765,0.021114,0.045063,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,400,0.05358443,0.048574,0.017105,0.045462,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,500,0.04971124,0.033727,0.015535,0.029936,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,600,0.04485205,0.039731,0.017207,0.035811,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,700,0.04554941,0.031943,0.017247,0.026886,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,800,0.04441925,0.034137,0.013349,0.031419,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,900,0.04133876,0.031233,0.01295,0.028422,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,1000,0.09905422,0.046197,0.040034,0.023054,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,1100,0.05151239,0.03766,0.020974,0.031279,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,1200,0.0459624,0.039848,0.020519,0.034159,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,1300,0.03976021,0.033959,0.022084,0.025798,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,1400,0.05663754,0.023687,0.01419,0.018967,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,1500,0.044364,0.034544,0.014177,0.031501,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,1600,0.03941711,0.034422,0.018237,0.029194,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,1700,0.11773811,0.041322,0.030109,0.028302,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,1800,0.0513118,0.03184,0.017728,0.026448,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,1900,0.04256795,0.032841,0.015386,0.029013,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,2000,0.06880226,0.035806,0.022268,0.02804,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,2100,0.04229038,0.031626,0.011492,0.029465,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,2200,0.0642523,0.026527,0.01428,0.022356,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,2300,0.03987618,0.030755,0.011227,0.028632,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,2400,0.26521661,0.063147,0.053007,0.03432,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,2500,0.14779395,0.041881,0.028863,0.030347,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,2600,0.09670444,0.035764,0.025333,0.025244,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,2700,0.0775528,0.029137,0.017978,0.022929,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,2800,0.06512678,0.029075,0.017592,0.023149,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,2900,0.05644206,0.032726,0.016799,0.028085,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,3000,0.05020678,0.03769,0.013206,0.0353,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,3100,0.04481828,0.036387,0.011419,0.034549,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,3200,0.04156893,0.031391,0.011521,0.0292,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,3300,0.06366245,0.037302,0.019243,0.031955,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,3400,0.04058873,0.028609,0.010759,0.026509,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,3500,0.14012988,0.066776,0.055482,0.037158,,,
cavity,sage,pirate-net,adam,0.001,23,50,none,multiseed_20260427,3600,0.05235848,0.021885,0.010075,0.019428,,,
