problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
cavity,sk-pinn,mlp,adam,0.001,0,200,none,multiseed_20260427,100,0.15987669,0.050029,0.043762,0.024245,,,
cavity,sk-pinn,mlp,adam,0.001,0,200,none,multiseed_20260427,200,0.04227755,0.046809,0.040741,0.023048,,,
cavity,sk-pinn,mlp,adam,0.001,0,200,none,multiseed_20260427,300,0.02176461,0.042242,0.032016,0.027557,,,
cavity,sk-pinn,mlp,adam,0.001,0,200,none,multiseed_20260427,400,0.01324933,0.051495,0.035269,0.037522,,,
cavity,sk-pinn,mlp,adam,0.001,0,200,none,multiseed_20260427,500,0.01281562,0.040347,0.024117,0.032346,,,
cavity,sk-pinn,mlp,adam,0.001,0,200,none,multiseed_20260427,600,0.01135739,0.040887,0.022953,0.033837,,,
cavity,sk-pinn,mlp,adam,0.001,0,200,none,multiseed_20260427,700,0.0109537,0.038511,0.018105,0.033989,,,
cavity,sk-pinn,mlp,adam,0.001,0,200,none,multiseed_20260427,800,0.01247732,0.048582,0.015989,0.045875,,,
cavity,sk-pinn,mlp,adam,0.001,0,200,none,multiseed_20260427,900,0.00939169,0.047581,0.01862,0.043786,,,
cavity,sk-pinn,mlp,adam,0.001,0,200,none,multiseed_20260427,1000,0.00966104,0.044518,0.017549,0.040912,,,
cavity,sk-pinn,mlp,adam,0.001,0,200,none,multiseed_20260427,1100,0.01496918,0.03209,0.01245,0.029577,,,
cavity,sk-pinn,mlp,adam,0.001,0,200,none,multiseed_20260427,1200,0.00890774,0.047652,0.016277,0.044786,,,
cavity,sk-pinn,mlp,adam,0.001,0,200,none,multiseed_20260427,1300,0.00927102,0.043405,0.013528,0.041243,,,
cavity,sk-pinn,mlp,adam,0.001,0,200,none,multiseed_20260427,1400,0.00917863,0.036073,0.015826,0.032416,,,
cavity,sk-pinn,mlp,adam,0.001,0,200,none,multiseed_20260427,1500,0.00907154,0.04185,0.012861,0.039825,,,
cavity,sk-pinn,mlp,adam,0.001,0,200,none,multiseed_20260427,1600,0.00865028,0.040716,0.012861,0.038632,,,
cavity,sk-pinn,mlp,adam,0.001,0,200,none,multiseed_20260427,1700,0.0121885,0.032918,0.016187,0.028663,,,
cavity,sk-pinn,mlp,adam,0.001,0,200,none,multiseed_20260427,1800,0.00895345,0.036705,0.011687,0.034794,,,
cavity,sk-pinn,mlp,adam,0.001,0,200,none,multiseed_20260427,1900,0.00832215,0.042528,0.013553,0.040311,,,
cavity,sk-pinn,mlp,adam,0.001,0,200,none,multiseed_20260427,2000,0.00839846,0.04146,0.010838,0.040019,,,
cavity,sk-pinn,mlp,adam,0.001,0,200,none,multiseed_20260427,2100,0.01007127,0.031878,0.00986,0.030314,,,
