problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,100,0.16549633,0.049574,0.035393,0.034712,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,200,0.05757885,0.042492,0.031523,0.028494,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,300,0.0344442,0.039108,0.023138,0.031528,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,400,0.02504837,0.038962,0.019606,0.033669,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,500,0.02392948,0.038881,0.019339,0.03373,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,600,0.01781124,0.042481,0.01725,0.038821,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,700,0.01609225,0.047243,0.016259,0.044357,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,800,0.01551225,0.049861,0.016754,0.046962,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,900,0.01448407,0.045763,0.015191,0.043168,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,1000,0.0176758,0.040391,0.017458,0.036424,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,1100,0.01663888,0.039483,0.014698,0.036645,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,1200,0.0151709,0.045447,0.013036,0.043537,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,1300,0.01466022,0.053199,0.014572,0.051164,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,1400,0.01308188,0.048419,0.01401,0.046348,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,1500,0.01290375,0.052584,0.014593,0.050519,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,1600,0.0124071,0.050771,0.014666,0.048606,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,1700,0.01220389,0.051109,0.014141,0.049114,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,1800,0.01201169,0.053817,0.014496,0.051828,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,1900,0.01205317,0.05063,0.014424,0.048532,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,2000,0.01249705,0.051314,0.014473,0.049231,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,2100,0.01219474,0.040523,0.014062,0.038004,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,2200,0.01709034,0.082846,0.016367,0.081213,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,2300,0.0111638,0.056504,0.014497,0.054613,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,2400,0.01110686,0.054516,0.014529,0.052544,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,2500,0.01103869,0.054549,0.014629,0.052551,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,2600,0.01098679,0.055619,0.014627,0.053661,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,2700,0.01092598,0.055022,0.014784,0.052998,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,2800,0.01084502,0.05486,0.014816,0.052821,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,2900,0.01076173,0.055873,0.014915,0.053846,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,3000,0.01072092,0.056211,0.014935,0.05419,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,3100,0.01067595,0.054762,0.015047,0.052655,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,3200,0.01079907,0.054336,0.015251,0.052152,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,3300,0.01099418,0.051759,0.015406,0.049413,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,3400,0.01117045,0.054939,0.014315,0.053041,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,3500,0.01122446,0.058658,0.016045,0.056421,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,3600,0.01372034,0.045865,0.015281,0.043244,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,3700,0.01570269,0.064538,0.014358,0.06292,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,3800,0.01913503,0.037723,0.015819,0.034246,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,3900,0.02394729,0.037729,0.017931,0.033196,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,4000,0.01023023,0.054179,0.015546,0.051901,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,4100,0.01022966,0.055442,0.015584,0.053206,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,4200,0.01021101,0.05391,0.015599,0.051604,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,4300,0.01019546,0.054919,0.015777,0.052605,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,4400,0.0102221,0.053491,0.015593,0.051168,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,4500,0.01022896,0.052039,0.015828,0.049573,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,4600,0.01022602,0.053689,0.015833,0.051301,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,4700,0.01031609,0.052076,0.015894,0.049592,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,4800,0.01068295,0.050824,0.014611,0.048678,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,4900,0.01177551,0.047135,0.018144,0.043503,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,5000,0.02273507,0.057714,0.01526,0.05566,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,5100,0.00988312,0.054528,0.015905,0.052157,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,5200,0.01001126,0.052383,0.016027,0.049871,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,5300,0.01022491,0.050613,0.015574,0.048158,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,5400,0.01035223,0.044276,0.017137,0.040825,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,5500,0.01863468,0.039868,0.016084,0.03648,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,5600,0.0098012,0.051322,0.015977,0.048772,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,5700,0.00982616,0.051928,0.016016,0.049397,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,5800,0.00989274,0.051319,0.015842,0.048812,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,5900,0.01000337,0.049033,0.015984,0.046354,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,6000,0.01027658,0.04807,0.014548,0.045816,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,6100,0.01561922,0.03299,0.015721,0.029003,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,6200,0.00975612,0.051185,0.016172,0.048563,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,6300,0.00995782,0.048682,0.015967,0.045989,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,6400,0.01012622,0.044438,0.0157,0.041573,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,6500,0.01810166,0.036389,0.017605,0.031847,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,6600,0.00964626,0.05083,0.016085,0.048218,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,6700,0.00972311,0.049787,0.01578,0.047221,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,6800,0.00982129,0.049438,0.015407,0.046975,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,6900,0.01039067,0.044048,0.014985,0.041421,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,7000,0.00991015,0.043661,0.02025,0.038682,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,7100,0.01150745,0.06137,0.016201,0.059193,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,7200,0.00954883,0.050889,0.016066,0.048286,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,7300,0.0096038,0.049836,0.015927,0.047222,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,7400,0.00968533,0.049901,0.015932,0.047289,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,7500,0.00985824,0.049149,0.01561,0.046605,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,7600,0.01075981,0.049054,0.015706,0.046471,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,7700,0.03069654,0.036882,0.019836,0.031094,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,7800,0.00950836,0.049859,0.016108,0.047186,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,7900,0.0096297,0.047818,0.016061,0.045041,,,
cavity,sk-pinn,pirate-net,adam,0.001,42,200,none,multiseed_20260427,8000,0.01047022,0.044444,0.015137,0.041786,,,
