problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
elasticity,autodiff,mlp,adam,0.001,1,30,none,multiseed_20260427,100,1223.24780273,34.144802,31.692232,12.707081,0.833026,1.929956,
elasticity,autodiff,mlp,adam,0.001,1,30,none,multiseed_20260427,200,32.42575455,4.717296,3.57573,3.076855,1.847932,1.912807,
elasticity,autodiff,mlp,adam,0.001,1,30,none,multiseed_20260427,300,11.91217041,2.294622,1.763902,1.46763,1.669329,1.122152,
elasticity,autodiff,mlp,adam,0.001,1,30,none,multiseed_20260427,400,8.26330948,1.741571,1.378049,1.064918,1.552988,0.835969,
elasticity,autodiff,mlp,adam,0.001,1,30,none,multiseed_20260427,500,6.23942089,1.498163,1.195475,0.902958,1.39912,0.67451,
elasticity,autodiff,mlp,adam,0.001,1,30,none,multiseed_20260427,600,4.87363863,1.316392,1.075135,0.759588,1.2729,0.578411,
elasticity,autodiff,mlp,adam,0.001,1,30,none,multiseed_20260427,700,3.70531273,1.103745,0.925082,0.602059,1.167872,0.546548,
elasticity,autodiff,mlp,adam,0.001,1,30,none,multiseed_20260427,800,3.06700444,1.140919,0.979805,0.584534,1.081668,0.524462,
elasticity,autodiff,mlp,adam,0.001,1,30,none,multiseed_20260427,900,2.2819736,0.822091,0.682604,0.458133,0.970558,0.489013,
elasticity,autodiff,mlp,adam,0.001,1,30,none,multiseed_20260427,1000,3.54931259,1.806067,1.698472,0.61406,0.860635,0.451399,
elasticity,autodiff,mlp,adam,0.001,1,30,none,multiseed_20260427,1100,1.8077085,1.036429,0.897227,0.518816,0.79848,0.421015,
elasticity,autodiff,mlp,adam,0.001,1,30,none,multiseed_20260427,1200,4.82881117,2.763723,2.576923,0.998814,0.730875,0.390663,
elasticity,autodiff,mlp,adam,0.001,1,30,none,multiseed_20260427,1300,1.06264603,0.60141,0.47695,0.366351,0.648156,0.354535,
elasticity,autodiff,mlp,adam,0.001,1,30,none,multiseed_20260427,1400,0.87856203,0.563403,0.446938,0.343029,0.577929,0.31559,
elasticity,autodiff,mlp,adam,0.001,1,30,none,multiseed_20260427,1500,0.73828387,0.528989,0.415794,0.327024,0.522886,0.276842,
elasticity,autodiff,mlp,adam,0.001,1,30,none,multiseed_20260427,1600,0.59705603,0.484026,0.37947,0.300473,0.461835,0.244247,
elasticity,autodiff,mlp,adam,0.001,1,30,none,multiseed_20260427,1700,0.53320193,0.566971,0.485477,0.292862,0.40494,0.216115,
elasticity,autodiff,mlp,adam,0.001,1,30,none,multiseed_20260427,1800,0.39911032,0.40737,0.322918,0.248343,0.36628,0.198111,
elasticity,autodiff,mlp,adam,0.001,1,30,none,multiseed_20260427,1900,0.32551849,0.371707,0.297214,0.223225,0.326097,0.185292,
elasticity,autodiff,mlp,adam,0.001,1,30,none,multiseed_20260427,2000,0.36571079,0.394123,0.328937,0.217102,0.297616,0.175303,
