problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,100,267.79345703,17.611094,15.608606,8.156104,0.992035,1.338179,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,200,3.29169226,1.536179,1.219792,0.933785,1.117512,1.177319,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,300,1.66642022,0.906186,0.703332,0.571399,0.993548,0.982372,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,400,1.1061995,0.674057,0.521344,0.427262,0.860277,0.84122,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,500,1.05244017,0.808617,0.727096,0.353825,0.736234,0.738514,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,600,0.61653924,0.430963,0.332915,0.273671,0.629264,0.649739,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,700,0.4947831,0.379725,0.29785,0.235535,0.540697,0.582774,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,800,0.47104436,0.426019,0.366779,0.216714,0.469454,0.531903,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,900,0.78527892,0.571259,0.513698,0.249903,0.413114,0.489705,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,1000,0.57342339,0.552135,0.505856,0.221278,0.367175,0.464902,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,1100,0.51601464,0.549532,0.500982,0.225836,0.333061,0.438193,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,1200,0.2937966,0.27256,0.22481,0.154109,0.301608,0.422383,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,1300,0.22739194,0.265848,0.222509,0.145482,0.276957,0.409065,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,1400,0.67799163,0.592041,0.549017,0.22157,0.256722,0.397138,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,1500,0.20275246,0.290401,0.2566,0.135975,0.236943,0.390425,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,1600,0.16953339,0.193969,0.154173,0.117706,0.220167,0.382865,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,1700,0.15047775,0.182718,0.144818,0.111417,0.205744,0.376754,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,1800,0.14029525,0.170219,0.133679,0.105378,0.192884,0.370778,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,1900,0.12756,0.16029,0.124248,0.101268,0.181931,0.365457,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,2000,0.24805202,0.316565,0.288557,0.130185,0.171272,0.362103,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,2100,0.17052741,0.208169,0.182468,0.100199,0.163209,0.355572,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,2200,0.13964173,0.24292,0.215755,0.111625,0.155644,0.350903,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,2300,0.10567009,0.159366,0.130704,0.091182,0.148977,0.34741,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,2400,0.09729508,0.132711,0.101898,0.085024,0.143121,0.343018,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,2500,0.09276114,0.126547,0.096252,0.082156,0.137862,0.339146,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,2600,0.11290772,0.159656,0.133908,0.086941,0.133125,0.335336,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,2700,0.31294939,0.338162,0.314993,0.123014,0.129187,0.331864,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,2800,0.15987208,0.266696,0.244245,0.107102,0.125807,0.326449,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,2900,0.1656228,0.15912,0.135333,0.08369,0.122801,0.323465,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,3000,0.51831424,0.627143,0.602085,0.175505,0.120285,0.319122,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,3100,0.11190284,0.215568,0.19727,0.086914,0.117672,0.314551,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,3200,0.07321458,0.105558,0.078781,0.070258,0.115618,0.311376,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,3300,0.0718583,0.105208,0.078877,0.069621,0.114029,0.307345,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,3400,0.06985015,0.106281,0.080572,0.06931,0.112221,0.303575,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,3500,0.09003979,0.217372,0.197896,0.089932,0.110653,0.299278,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,3600,0.06607401,0.097417,0.071569,0.06609,0.10971,0.296,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,3700,0.07604305,0.110773,0.088388,0.06677,0.108151,0.291692,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,3800,0.10712287,0.377934,0.355746,0.127588,0.107788,0.289483,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,3900,0.0614409,0.092607,0.067679,0.06321,0.106347,0.284654,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,4000,0.06344635,0.098657,0.074948,0.064156,0.105245,0.280772,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,4100,0.06066139,0.10167,0.07941,0.063489,0.104548,0.276667,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,4200,0.05756162,0.093533,0.070093,0.061931,0.103827,0.27294,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,4300,0.06845832,0.147494,0.12954,0.070528,0.103029,0.269436,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,4400,0.05692538,0.09319,0.070803,0.060592,0.102321,0.265609,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,4500,0.06025745,0.105427,0.086058,0.060901,0.101712,0.261655,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,4600,0.33905911,0.426422,0.408156,0.123469,0.101187,0.258458,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,4700,0.05948188,0.127593,0.109618,0.065299,0.100445,0.254958,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,4800,0.05488602,0.115048,0.097381,0.061262,0.099555,0.250834,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,4900,0.11122434,0.261447,0.242829,0.096896,0.099393,0.248341,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,5000,0.13430385,0.386831,0.364251,0.130227,0.098783,0.244576,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,5100,0.04698326,0.07885,0.057324,0.054141,0.097795,0.24017,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,5200,0.05609812,0.0811,0.059302,0.055321,0.096876,0.235493,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,5300,0.11166519,0.265709,0.247079,0.097741,0.096986,0.232943,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,5400,0.04370802,0.07546,0.054749,0.051931,0.095805,0.229106,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,5500,0.04414058,0.086313,0.067289,0.054057,0.095251,0.225845,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,5600,0.12890828,0.143589,0.129484,0.062062,0.094597,0.221895,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,5700,0.06956911,0.206167,0.186427,0.088034,0.094443,0.218504,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,5800,0.03986601,0.072133,0.052299,0.049678,0.093177,0.214952,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,5900,0.04393963,0.155578,0.140982,0.065791,0.092553,0.210207,
elasticity,autodiff,pirate-net,adam,0.001,42,30,none,multiseed_20260427,6000,0.04000191,0.084878,0.067756,0.051122,0.091954,0.208045,
