problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,100,239.03555298,16.494846,15.521787,5.581585,1.188608,0.847009,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,200,6.34062862,2.85708,2.551839,1.284922,1.340917,0.864249,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,300,8.10833931,1.852199,1.615838,0.905378,1.283708,0.642492,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,400,2.24105692,1.508618,1.299229,0.766769,1.16429,0.510854,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,500,2.49575949,1.310628,1.13515,0.655118,1.030187,0.429161,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,600,1.21235275,1.069344,0.905752,0.568428,0.902711,0.37448,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,700,1.12036741,0.982706,0.850914,0.491585,0.773188,0.338974,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,800,0.69516504,0.859803,0.733451,0.448677,0.667318,0.311011,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,900,4.44085455,2.572324,2.407234,0.906682,0.553442,0.292873,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,1000,0.43422517,0.75026,0.642905,0.386735,0.492106,0.275862,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,1100,0.35020429,0.706454,0.604981,0.364796,0.424911,0.264838,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,1200,0.31208509,0.674978,0.579871,0.345464,0.369003,0.255199,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,1300,0.24698845,0.635227,0.542139,0.331057,0.323876,0.248666,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,1400,0.21769896,0.605685,0.517264,0.315107,0.287554,0.242667,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,1500,0.18809542,0.569314,0.484616,0.298774,0.258393,0.238511,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,1600,0.57030004,0.603353,0.530768,0.286915,0.23326,0.234722,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,1700,8.18904877,2.885146,2.724896,0.948162,0.205369,0.232279,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,1800,0.14273599,0.491921,0.417124,0.260757,0.203233,0.227644,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,1900,0.87166262,0.93779,0.855477,0.384198,0.194878,0.224668,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,2000,0.12565529,0.453536,0.383832,0.241595,0.183864,0.222079,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,2100,0.40046826,0.822845,0.748514,0.341763,0.176927,0.219023,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,2200,0.11384062,0.423078,0.356218,0.228262,0.171044,0.216417,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,2300,9.90664196,3.302881,3.101506,1.13564,0.176513,0.212508,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,2400,0.10444072,0.393914,0.329485,0.215887,0.162571,0.211722,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,2500,4.18426895,1.930895,1.82239,0.638162,0.159158,0.211614,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,2600,0.10377499,0.376911,0.317394,0.203281,0.155141,0.206683,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,2700,0.14522982,0.383524,0.327402,0.199745,0.152232,0.204534,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,2800,0.28100067,0.609379,0.559709,0.240974,0.149452,0.202758,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,2900,0.08844221,0.348104,0.285559,0.199079,0.148016,0.199788,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,3000,0.10453628,0.340509,0.279342,0.194716,0.145211,0.197251,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,3100,0.13931218,0.391983,0.341322,0.192743,0.142809,0.194893,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,3200,0.07928179,0.320527,0.259166,0.188602,0.141355,0.193016,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,3300,0.97627115,0.859705,0.793501,0.33083,0.138138,0.190108,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,3400,0.07499496,0.312367,0.251414,0.185375,0.137288,0.187702,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,3500,0.63781172,1.116272,1.039358,0.407183,0.136361,0.186302,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,3600,0.07084827,0.299585,0.239088,0.180521,0.134225,0.183298,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,3700,0.67112428,1.032479,0.954689,0.393168,0.133669,0.18036,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,3800,0.06845731,0.296338,0.236461,0.178613,0.131647,0.17821,
elasticity,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,3900,1.41713309,0.957913,0.900516,0.3266,0.129805,0.176372,
