problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,100,221.0342865,16.089483,14.170918,7.619487,0.425932,0.480584,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,200,9.60639095,4.10494,3.468182,2.195961,0.775743,0.32961,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,300,2.11233377,2.054164,1.778967,1.027067,0.780086,0.283484,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,400,1.16813457,1.499326,1.337783,0.676991,0.75716,0.270572,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,500,0.90075409,1.282833,1.166303,0.534228,0.734635,0.264561,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,600,0.77060127,1.166001,1.07225,0.458081,0.713377,0.259705,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,700,0.68529332,1.068356,0.98803,0.406425,0.691524,0.255011,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,800,0.62013686,1.052576,0.982568,0.377461,0.669895,0.250318,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,900,0.56694126,1.008269,0.94511,0.351246,0.647122,0.24589,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,1000,0.52101302,1.004271,0.947596,0.332599,0.624371,0.241659,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,1100,0.48114115,0.975566,0.923181,0.315384,0.601441,0.237659,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,1200,0.44506696,0.966416,0.918614,0.30018,0.57882,0.233838,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,1300,0.41720003,0.938905,0.893061,0.2898,0.556379,0.229978,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,1400,0.38275176,0.949795,0.90806,0.278455,0.534727,0.226306,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,1500,0.35473397,0.964661,0.925828,0.270948,0.513301,0.222446,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,1600,0.32817924,0.932876,0.895707,0.260704,0.49188,0.218579,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,1700,0.30277759,0.946847,0.912248,0.253617,0.471082,0.214541,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,1800,0.27905619,0.936201,0.90278,0.247909,0.45057,0.210357,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,1900,0.25630179,0.956136,0.924815,0.24272,0.430466,0.206051,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,2000,0.24034989,0.867337,0.836162,0.230449,0.410183,0.201906,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,2100,0.21535224,0.947531,0.918439,0.23299,0.391198,0.197193,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,2200,0.19679275,0.944493,0.916345,0.228864,0.372005,0.19262,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,2300,0.17986965,0.902453,0.874539,0.222718,0.353469,0.188184,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,2400,0.16376549,0.929323,0.902148,0.223093,0.335543,0.183514,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,2500,0.70176524,1.671746,1.626137,0.387831,0.321225,0.177337,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,2600,0.13588916,0.887871,0.861323,0.215492,0.301079,0.174438,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,2700,0.12788363,0.924583,0.898049,0.219911,0.285012,0.169577,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,2800,0.11294472,0.857146,0.830868,0.210612,0.269709,0.16538,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,2900,0.13013938,0.69316,0.667234,0.187803,0.254783,0.161719,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,3000,0.0943716,0.815772,0.789665,0.204725,0.241306,0.156703,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,3100,0.08639886,0.81704,0.790582,0.206239,0.228374,0.152298,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,3200,0.07971877,0.75142,0.725419,0.195955,0.21646,0.148509,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,3300,0.76862895,0.678298,0.651008,0.190464,0.204198,0.144831,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,3400,0.06771487,0.721067,0.694457,0.194081,0.194714,0.140398,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,3500,0.06574188,0.760501,0.732436,0.204694,0.185247,0.136205,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,3600,0.05853985,0.657689,0.630803,0.186125,0.176465,0.133041,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,3700,0.05442163,0.666996,0.639345,0.190058,0.168505,0.129144,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,3800,0.05197782,0.625482,0.597564,0.184783,0.161237,0.126017,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,3900,0.04795811,0.624732,0.596363,0.186123,0.154782,0.122363,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,4000,0.04657567,0.60141,0.572271,0.184931,0.149257,0.119284,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,4100,0.04304484,0.558533,0.529459,0.177854,0.143886,0.116488,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,4200,0.04080484,0.5553,0.52561,0.179142,0.139435,0.113221,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,4300,0.039947,0.525686,0.49478,0.177592,0.135254,0.110844,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,4400,0.03728301,0.514987,0.484188,0.175423,0.131794,0.107741,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,4500,0.08010866,0.605282,0.570763,0.201484,0.128507,0.105079,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,4600,0.03737596,0.450855,0.42006,0.16377,0.125873,0.102631,
elasticity,can-pinn-faithful,pirate-net,adam,0.001,0,51,none,can_pinn_faithful_20260503,4700,0.03344135,0.467371,0.434405,0.172417,0.123358,0.099974,
