problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
elasticity,chebyshev-pinn,mlp,adam,0.001,42,30,none,canpinn_hpc_20260428,100,808.03417969,28.738342,26.473301,11.182869,1.276173,2.79594,
elasticity,chebyshev-pinn,mlp,adam,0.001,42,30,none,canpinn_hpc_20260428,200,14.48121262,3.204262,2.881413,1.401699,2.028643,1.482955,
elasticity,chebyshev-pinn,mlp,adam,0.001,42,30,none,canpinn_hpc_20260428,300,7.66078043,1.76422,1.542702,0.855887,2.108725,1.031082,
elasticity,chebyshev-pinn,mlp,adam,0.001,42,30,none,canpinn_hpc_20260428,400,6.84947491,1.382168,1.176854,0.724847,2.073548,0.771972,
elasticity,chebyshev-pinn,mlp,adam,0.001,42,30,none,canpinn_hpc_20260428,500,4.84538794,1.004041,0.840591,0.549094,1.947314,0.590405,
elasticity,chebyshev-pinn,mlp,adam,0.001,42,30,none,canpinn_hpc_20260428,600,3.6513226,0.758109,0.613957,0.444732,1.725723,0.473844,
elasticity,chebyshev-pinn,mlp,adam,0.001,42,30,none,canpinn_hpc_20260428,700,4.44858646,1.047183,0.923248,0.494171,1.451099,0.408516,
elasticity,chebyshev-pinn,mlp,adam,0.001,42,30,none,canpinn_hpc_20260428,800,1.93688083,0.581269,0.432708,0.38812,1.223648,0.373896,
elasticity,chebyshev-pinn,mlp,adam,0.001,42,30,none,canpinn_hpc_20260428,900,1.4139173,0.545142,0.402563,0.367591,1.00692,0.347729,
elasticity,chebyshev-pinn,mlp,adam,0.001,42,30,none,canpinn_hpc_20260428,1000,2.24559402,1.671468,1.555881,0.61077,0.802744,0.319818,
elasticity,chebyshev-pinn,mlp,adam,0.001,42,30,none,canpinn_hpc_20260428,1100,0.72479349,0.450998,0.318049,0.319756,0.663725,0.303026,
elasticity,chebyshev-pinn,mlp,adam,0.001,42,30,none,canpinn_hpc_20260428,1200,0.6256839,0.509522,0.39832,0.317732,0.533481,0.285592,
elasticity,chebyshev-pinn,mlp,adam,0.001,42,30,none,canpinn_hpc_20260428,1300,0.4297083,0.464314,0.357312,0.296506,0.428069,0.268292,
elasticity,chebyshev-pinn,mlp,adam,0.001,42,30,none,canpinn_hpc_20260428,1400,0.31249797,0.359518,0.244212,0.263845,0.35185,0.256867,
elasticity,chebyshev-pinn,mlp,adam,0.001,42,30,none,canpinn_hpc_20260428,1500,0.28574824,0.369989,0.274716,0.247836,0.293963,0.247321,
elasticity,chebyshev-pinn,mlp,adam,0.001,42,30,none,canpinn_hpc_20260428,1600,0.26788285,0.453253,0.379693,0.247531,0.24655,0.235916,
elasticity,chebyshev-pinn,mlp,adam,0.001,42,30,none,canpinn_hpc_20260428,1700,0.18037665,0.294304,0.200311,0.215616,0.21208,0.229128,
elasticity,chebyshev-pinn,mlp,adam,0.001,42,30,none,canpinn_hpc_20260428,1800,0.17719617,0.297145,0.217461,0.202499,0.189296,0.223742,
elasticity,chebyshev-pinn,mlp,adam,0.001,42,30,none,canpinn_hpc_20260428,1900,1.11016631,1.34735,1.266106,0.46079,0.162119,0.221214,
elasticity,chebyshev-pinn,mlp,adam,0.001,42,30,none,canpinn_hpc_20260428,2000,0.12353845,0.239371,0.163296,0.175023,0.152854,0.214126,
elasticity,chebyshev-pinn,mlp,adam,0.001,42,30,none,canpinn_hpc_20260428,2100,0.14272606,0.316266,0.260689,0.179068,0.147042,0.213959,
elasticity,chebyshev-pinn,mlp,adam,0.001,42,30,none,canpinn_hpc_20260428,2200,0.1023769,0.213211,0.1483,0.153186,0.132823,0.208757,
elasticity,chebyshev-pinn,mlp,adam,0.001,42,30,none,canpinn_hpc_20260428,2300,1.16251206,0.981303,0.930019,0.31308,0.121163,0.208918,
elasticity,chebyshev-pinn,mlp,adam,0.001,42,30,none,canpinn_hpc_20260428,2400,0.13577327,0.434787,0.396085,0.179321,0.117632,0.207123,
elasticity,chebyshev-pinn,mlp,adam,0.001,42,30,none,canpinn_hpc_20260428,2500,0.10896096,0.264986,0.223669,0.142092,0.11527,0.203801,
