problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,100,260.92861938,18.095495,16.42919,7.584762,1.788726,1.026183,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,200,4.28825951,1.551454,1.10454,1.089496,1.872193,0.982459,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,300,2.27776957,0.838537,0.595988,0.589866,1.644778,0.808383,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,400,1.5214783,0.595816,0.435461,0.406658,1.390445,0.698928,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,500,1.14814234,0.566979,0.451733,0.342642,1.146889,0.624681,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,600,0.83195436,0.452774,0.350594,0.286509,0.934191,0.568009,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,700,0.58737612,0.407797,0.322414,0.249695,0.76002,0.52639,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,800,0.53123438,0.497669,0.432781,0.245715,0.61841,0.49478,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,900,0.34776372,0.331739,0.262582,0.202735,0.503129,0.470482,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,1000,0.27856803,0.29815,0.233984,0.184783,0.411254,0.449812,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,1100,0.67169315,0.748934,0.708555,0.242593,0.336534,0.43381,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,1200,0.20220917,0.264891,0.209674,0.161876,0.282822,0.418114,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,1300,0.17320088,0.238847,0.18707,0.148501,0.239213,0.405304,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,1400,0.17312714,0.248109,0.203424,0.142044,0.205148,0.3935,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,1500,0.39342472,0.563126,0.533547,0.180104,0.176692,0.382204,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,1600,0.12765524,0.199835,0.152386,0.129277,0.158216,0.371267,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,1700,0.11726911,0.185106,0.138776,0.122497,0.142246,0.36086,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,1800,0.11769839,0.21745,0.179002,0.123461,0.129435,0.351136,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,1900,0.11917016,0.212013,0.179129,0.113413,0.118239,0.341731,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,2000,0.12341037,0.282548,0.252625,0.126548,0.110362,0.332507,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,2100,0.20096448,0.418837,0.382977,0.169568,0.102778,0.321954,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,2200,0.08858564,0.188192,0.158407,0.101605,0.096467,0.315532,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,2300,0.07568064,0.147525,0.111423,0.096688,0.091921,0.30696,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,2400,0.0689057,0.148244,0.114903,0.093667,0.087835,0.298996,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,2500,0.17118046,0.429329,0.401165,0.15294,0.085041,0.290837,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,2600,0.0912578,0.188864,0.160338,0.099807,0.081333,0.2834,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,2700,0.10640974,0.25596,0.228448,0.115444,0.079139,0.276033,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,2800,0.09241633,0.220613,0.20049,0.092054,0.076725,0.269798,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,2900,0.06300932,0.154715,0.128378,0.086347,0.075327,0.263341,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,3000,0.04846613,0.108475,0.076549,0.076858,0.073922,0.256622,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,3100,0.09809114,0.297274,0.277355,0.106985,0.07227,0.250475,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,3200,0.12668185,0.333282,0.306376,0.131188,0.071867,0.24508,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,3300,0.04700061,0.124467,0.099724,0.07448,0.070908,0.237886,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,3400,0.07693741,0.187505,0.164137,0.09065,0.070389,0.232722,
elasticity,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,3500,0.30835903,0.58191,0.551003,0.18712,0.069646,0.227136,
