problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,100,0.04826798,0.148349,0.120918,0.085944,0.07491,0.112289,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,200,0.01035428,0.066592,0.054482,0.038291,0.030957,0.052957,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,300,0.00406948,0.049186,0.042963,0.023947,0.015263,0.023277,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,400,0.00254663,0.039837,0.032967,0.022364,0.016044,0.017385,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,500,0.00168361,0.032693,0.026577,0.019039,0.014587,0.012959,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,600,0.00122176,0.02601,0.020766,0.015663,0.016203,0.010222,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,700,0.00093612,0.02323,0.019356,0.012844,0.013877,0.008494,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,800,0.00069236,0.019233,0.016014,0.010651,0.011808,0.007591,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,900,0.00050448,0.016354,0.01319,0.009668,0.009071,0.007089,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,1000,0.00037857,0.014786,0.011533,0.009253,0.006456,0.006381,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,1100,0.00032559,0.014006,0.010992,0.008681,0.005723,0.006309,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,1200,0.00027643,0.012486,0.00999,0.00749,0.005515,0.005959,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,1300,0.00022767,0.011497,0.008704,0.007511,0.004323,0.005422,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,1400,0.00018875,0.010487,0.007866,0.006935,0.003714,0.004826,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,1500,0.00018445,0.010414,0.007762,0.006943,0.003456,0.004672,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,1600,0.00018445,0.010414,0.007762,0.006943,0.003454,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,1700,0.00018444,0.010414,0.007762,0.006943,0.003454,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,1800,0.00018444,0.010414,0.007762,0.006943,0.003455,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,1900,0.00018443,0.010414,0.007762,0.006943,0.003455,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,2000,0.00018443,0.010414,0.007762,0.006943,0.003455,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,2100,0.00018443,0.010414,0.007762,0.006943,0.003456,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,2200,0.00018442,0.010414,0.007762,0.006943,0.003456,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,2300,0.00018442,0.010414,0.007762,0.006943,0.003457,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,2400,0.00018442,0.010414,0.007762,0.006943,0.003457,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,2500,0.00018442,0.010414,0.007762,0.006943,0.003457,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,2600,0.00018441,0.010414,0.007763,0.006943,0.003457,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,2700,0.00018441,0.010415,0.007763,0.006943,0.003458,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,2800,0.00018441,0.010415,0.007763,0.006943,0.003458,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,2900,0.00018441,0.010415,0.007763,0.006943,0.003458,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,3000,0.0001844,0.010415,0.007763,0.006943,0.003459,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,3100,0.0001844,0.010415,0.007763,0.006943,0.003459,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,3200,0.0001844,0.010415,0.007763,0.006943,0.003459,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,3300,0.0001844,0.010415,0.007763,0.006943,0.003459,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,3400,0.0001844,0.010415,0.007763,0.006943,0.003459,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,3500,0.0001844,0.010415,0.007763,0.006943,0.003459,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,3600,0.0001844,0.010415,0.007763,0.006943,0.003459,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,3700,0.0001844,0.010415,0.007763,0.006943,0.003459,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,3800,0.0001844,0.010415,0.007763,0.006943,0.003459,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,3900,0.0001844,0.010415,0.007763,0.006943,0.003459,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,4000,0.0001844,0.010415,0.007763,0.006943,0.003459,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,4100,0.0001844,0.010415,0.007763,0.006943,0.003459,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,4200,0.0001844,0.010415,0.007763,0.006943,0.003459,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,4300,0.0001844,0.010415,0.007763,0.006943,0.003459,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,4400,0.0001844,0.010415,0.007763,0.006943,0.003459,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,4500,0.0001844,0.010415,0.007763,0.006943,0.003459,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,4600,0.0001844,0.010415,0.007763,0.006943,0.003459,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,4700,0.0001844,0.010415,0.007763,0.006943,0.003459,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,4800,0.0001844,0.010415,0.007763,0.006943,0.003459,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,4900,0.0001844,0.010415,0.007763,0.006943,0.003459,0.004674,
elasticity,dtpinn,mlp,lbfgs,0.02,7,30,none,multiseed_20260427,5000,0.0001844,0.010415,0.007763,0.006943,0.003459,0.004674,
