problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
elasticity,dtpinn,pirate-net,lbfgs,0.00125,0,30,none,multiseed_20260427,100,3.84478837,1.365295,1.005905,0.923139,0.994107,0.8486,
elasticity,dtpinn,pirate-net,lbfgs,0.00125,0,30,none,multiseed_20260427,200,0.18161397,0.270246,0.214513,0.164369,0.218349,0.21996,
elasticity,dtpinn,pirate-net,lbfgs,0.00125,0,30,none,multiseed_20260427,300,0.05066212,0.138717,0.10901,0.085787,0.123221,0.097736,
elasticity,dtpinn,pirate-net,lbfgs,0.00125,0,30,none,multiseed_20260427,400,0.01600654,0.071082,0.053619,0.046665,0.055547,0.063156,
elasticity,dtpinn,pirate-net,lbfgs,0.00125,0,30,none,multiseed_20260427,500,0.00830837,0.047453,0.032868,0.034228,0.035962,0.053116,
elasticity,dtpinn,pirate-net,lbfgs,0.00125,0,30,none,multiseed_20260427,600,0.00438257,0.038319,0.025958,0.028187,0.024125,0.036108,
elasticity,dtpinn,pirate-net,lbfgs,0.00125,0,30,none,multiseed_20260427,700,0.00217995,0.03158,0.020857,0.023713,0.015679,0.022584,
elasticity,dtpinn,pirate-net,lbfgs,0.00125,0,30,none,multiseed_20260427,800,0.00123427,0.025835,0.016,0.020284,0.010748,0.014746,
elasticity,dtpinn,pirate-net,lbfgs,0.00125,0,30,none,multiseed_20260427,900,0.00102793,0.024435,0.015729,0.018699,0.010678,0.011796,
elasticity,dtpinn,pirate-net,lbfgs,0.00125,0,30,none,multiseed_20260427,1000,0.00102516,0.02443,0.015737,0.018686,0.010721,0.01171,
elasticity,dtpinn,pirate-net,lbfgs,0.00125,0,30,none,multiseed_20260427,1100,0.00102507,0.02443,0.015738,0.018686,0.010723,0.011707,
elasticity,dtpinn,pirate-net,lbfgs,0.00125,0,30,none,multiseed_20260427,1200,0.00102498,0.024431,0.015739,0.018686,0.010725,0.011703,
elasticity,dtpinn,pirate-net,lbfgs,0.00125,0,30,none,multiseed_20260427,1300,0.00102489,0.024431,0.01574,0.018686,0.010727,0.0117,
elasticity,dtpinn,pirate-net,lbfgs,0.00125,0,30,none,multiseed_20260427,1400,0.00102482,0.024432,0.01574,0.018685,0.010729,0.011696,
elasticity,dtpinn,pirate-net,lbfgs,0.00125,0,30,none,multiseed_20260427,1500,0.00102474,0.024432,0.015741,0.018685,0.01073,0.011693,
elasticity,dtpinn,pirate-net,lbfgs,0.00125,0,30,none,multiseed_20260427,1600,0.00102468,0.024433,0.015742,0.018685,0.010732,0.01169,
elasticity,dtpinn,pirate-net,lbfgs,0.00125,0,30,none,multiseed_20260427,1700,0.00102461,0.024433,0.015743,0.018685,0.010733,0.011687,
elasticity,dtpinn,pirate-net,lbfgs,0.00125,0,30,none,multiseed_20260427,1800,0.00102455,0.024434,0.015744,0.018685,0.010735,0.011684,
elasticity,dtpinn,pirate-net,lbfgs,0.00125,0,30,none,multiseed_20260427,1900,0.0010245,0.024434,0.015745,0.018685,0.010736,0.011681,
elasticity,dtpinn,pirate-net,lbfgs,0.00125,0,30,none,multiseed_20260427,2000,0.00102444,0.024435,0.015746,0.018685,0.010738,0.011679,
elasticity,dtpinn,pirate-net,lbfgs,0.00125,0,30,none,multiseed_20260427,2100,0.00102439,0.024435,0.015746,0.018685,0.010739,0.011676,
elasticity,dtpinn,pirate-net,lbfgs,0.00125,0,30,none,multiseed_20260427,2200,0.00102434,0.024436,0.015747,0.018685,0.010741,0.011674,
elasticity,dtpinn,pirate-net,lbfgs,0.00125,0,30,none,multiseed_20260427,2300,0.0010243,0.024436,0.015748,0.018685,0.010742,0.011671,
elasticity,dtpinn,pirate-net,lbfgs,0.00125,0,30,none,multiseed_20260427,2400,0.00102425,0.024437,0.015749,0.018685,0.010743,0.011669,
elasticity,dtpinn,pirate-net,lbfgs,0.00125,0,30,none,multiseed_20260427,2500,0.00102421,0.024437,0.01575,0.018685,0.010744,0.011667,
elasticity,dtpinn,pirate-net,lbfgs,0.00125,0,30,none,multiseed_20260427,2600,0.00102417,0.024438,0.01575,0.018685,0.010746,0.011665,
elasticity,dtpinn,pirate-net,lbfgs,0.00125,0,30,none,multiseed_20260427,2700,0.00102414,0.024438,0.015751,0.018685,0.010747,0.011663,
elasticity,dtpinn,pirate-net,lbfgs,0.00125,0,30,none,multiseed_20260427,2800,0.0010241,0.024438,0.015752,0.018685,0.010748,0.011661,
elasticity,dtpinn,pirate-net,lbfgs,0.00125,0,30,none,multiseed_20260427,2900,0.00102407,0.024439,0.015753,0.018685,0.010749,0.011659,
elasticity,dtpinn,pirate-net,lbfgs,0.00125,0,30,none,multiseed_20260427,3000,0.00102403,0.024439,0.015754,0.018684,0.01075,0.011657,
elasticity,dtpinn,pirate-net,lbfgs,0.00125,0,30,none,multiseed_20260427,3100,0.001024,0.02444,0.015754,0.018684,0.010751,0.011655,
elasticity,dtpinn,pirate-net,lbfgs,0.00125,0,30,none,multiseed_20260427,3200,0.00102397,0.02444,0.015755,0.018684,0.010752,0.011654,
elasticity,dtpinn,pirate-net,lbfgs,0.00125,0,30,none,multiseed_20260427,3300,0.00102394,0.024441,0.015756,0.018684,0.010753,0.011652,
