problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,100,1226.76928711,34.193611,31.748787,12.697151,0.831224,1.930928,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,200,32.695961,4.786358,3.637418,3.111015,1.844623,1.944851,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,300,11.92826843,2.287216,1.760353,1.460313,1.67677,1.142323,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,400,8.24217224,1.735653,1.374488,1.059847,1.558858,0.848468,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,500,6.21988392,1.489057,1.186299,0.899992,1.401495,0.689561,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,600,4.78072643,1.303531,1.041965,0.783262,1.278499,0.592584,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,700,5.00761795,1.540567,1.347911,0.745977,1.184013,0.562687,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,800,2.79416132,0.898335,0.749052,0.49591,1.065894,0.536064,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,900,2.28098273,0.831459,0.699867,0.448899,0.969675,0.500937,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,1000,1.83152747,0.729587,0.59082,0.428053,0.877658,0.464697,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,1100,1.56199193,0.691791,0.558763,0.407871,0.79385,0.429831,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,1200,2.91076851,0.849556,0.713804,0.460683,0.726654,0.397866,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,1300,1.07330084,0.596273,0.463796,0.374747,0.65174,0.364842,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,1400,0.97204447,0.667085,0.541272,0.389908,0.592165,0.3291,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,1500,0.93746668,0.80275,0.706154,0.381776,0.524856,0.296842,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,1600,0.64818972,0.497352,0.375305,0.326351,0.477954,0.266102,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,1700,0.56525385,0.523903,0.422542,0.30973,0.424502,0.238649,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,1800,0.45500243,0.43455,0.332253,0.280074,0.385223,0.216508,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,1900,0.37589955,0.398938,0.308641,0.252769,0.342927,0.198835,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,2000,0.35779932,0.456801,0.382277,0.250063,0.313729,0.184314,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,2100,0.26660877,0.345988,0.275206,0.209688,0.282266,0.176966,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,2200,0.223546,0.31905,0.256442,0.189816,0.256803,0.170561,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,2300,0.19680338,0.304486,0.248229,0.176335,0.239828,0.166987,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,2400,0.16500998,0.2767,0.225166,0.160821,0.224541,0.164512,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,2500,0.1580458,0.273084,0.225704,0.153728,0.214833,0.163908,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,2600,0.12919378,0.245331,0.200875,0.140842,0.206657,0.162376,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,2700,2.48719573,1.52629,1.416219,0.569109,0.207797,0.156672,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,2800,0.10556578,0.219004,0.178484,0.12691,0.196038,0.163328,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,2900,1.10728157,0.61485,0.567029,0.237736,0.1936,0.166488,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,3000,0.09079729,0.200246,0.163168,0.11608,0.190722,0.162002,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,3100,0.08392084,0.188865,0.153326,0.110278,0.189202,0.161038,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,3200,0.09375307,0.207,0.17421,0.111803,0.186923,0.160359,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,3300,0.07538229,0.175942,0.142904,0.102635,0.186361,0.158868,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,3400,1.89154887,1.236688,1.173304,0.390838,0.185417,0.156182,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,3500,3.6736927,1.858644,1.763171,0.588036,0.18254,0.154634,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,3600,0.06500171,0.15667,0.126239,0.092787,0.182357,0.155286,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,3700,0.07746843,0.160372,0.130444,0.093293,0.180289,0.154094,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,3800,0.0605646,0.148647,0.119646,0.088209,0.180674,0.15255,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,3900,1.18841732,1.384458,1.312804,0.439625,0.181661,0.153134,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,4000,0.0575571,0.146947,0.119645,0.085315,0.178138,0.149502,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,4100,0.05855997,0.151117,0.125429,0.084285,0.177047,0.147606,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,4200,2.10342836,1.729353,1.638016,0.554585,0.179687,0.149191,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,4300,2.23841643,1.889688,1.791606,0.600889,0.172938,0.14299,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,4400,0.34457985,0.596713,0.566599,0.187169,0.172523,0.143205,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,4500,0.07126781,0.398394,0.371758,0.143227,0.168664,0.143026,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,4600,0.04804607,0.123684,0.097216,0.076464,0.171684,0.141138,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,4700,0.11457132,0.250227,0.230104,0.098312,0.170315,0.138101,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,4800,0.30872297,0.601709,0.565264,0.206227,0.169818,0.139512,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,4900,0.04425288,0.115301,0.090107,0.071938,0.168493,0.136295,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,5000,0.04833696,0.137105,0.113791,0.076481,0.166771,0.133661,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,5100,0.05658829,0.17651,0.155789,0.082978,0.166026,0.134111,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,5200,0.11852948,0.334066,0.309259,0.12633,0.162256,0.129335,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,5300,0.04054774,0.107447,0.082725,0.068568,0.164031,0.130388,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,5400,0.09209937,0.30881,0.287582,0.112518,0.16221,0.127857,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,5500,0.04011214,0.112268,0.089741,0.067458,0.161469,0.127201,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,5600,0.04149641,0.131485,0.110952,0.070556,0.160016,0.124551,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,5700,2.50711989,1.832608,1.742324,0.568117,0.156143,0.121853,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,5800,0.04013424,0.122366,0.102795,0.066384,0.157886,0.122565,
elasticity,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,5900,0.03696909,0.099361,0.076296,0.063651,0.156475,0.120579,
