problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
elasticity,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,100,257.90182495,17.988037,16.32917,7.545043,1.773837,1.038018,
elasticity,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,200,4.24507904,1.543665,1.109922,1.072835,1.86526,0.976439,
elasticity,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,300,2.28951597,0.848346,0.608886,0.590719,1.644861,0.799258,
elasticity,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,400,1.52534068,0.592398,0.431929,0.40543,1.393888,0.692931,
elasticity,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,500,1.08044028,0.530575,0.412224,0.334038,1.147873,0.617184,
elasticity,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,600,1.10516667,0.717616,0.627386,0.348367,0.932605,0.561924,
elasticity,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,700,0.6082232,0.424656,0.347799,0.243658,0.755282,0.523245,
elasticity,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,800,0.43985978,0.353925,0.283112,0.212393,0.611792,0.493969,
elasticity,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,900,0.76523268,0.709776,0.643614,0.299235,0.497623,0.472754,
elasticity,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,1000,0.2756446,0.292155,0.232894,0.176394,0.404033,0.452281,
elasticity,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,1100,0.25667411,0.317828,0.266384,0.173361,0.333339,0.437088,
elasticity,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,1200,0.26550543,0.423895,0.387137,0.172661,0.275664,0.423205,
elasticity,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,1300,0.28297815,0.408293,0.360764,0.191187,0.23386,0.408792,
elasticity,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,1400,0.15320484,0.230466,0.184038,0.138725,0.201767,0.398415,
elasticity,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,1500,0.13409075,0.19918,0.152086,0.128617,0.174582,0.387488,
elasticity,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,1600,0.1230835,0.190848,0.146416,0.122415,0.155,0.376851,
elasticity,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,1700,0.10979617,0.175505,0.130846,0.116967,0.138654,0.367155,
