problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,100,1160.84631896,34.491936,32.655701,11.103991,0.788942,2.232863,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,200,28.13613224,4.453253,3.184535,3.112908,1.661493,1.773422,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,300,9.41471314,2.029613,1.654387,1.175726,1.582333,0.996387,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,400,6.04936099,1.43114,1.181011,0.808316,1.531922,0.761337,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,500,4.48323917,1.150707,0.927125,0.68159,1.478235,0.611602,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,600,3.62770641,1.002354,0.800358,0.60344,1.403795,0.520581,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,700,2.98200852,0.884353,0.721533,0.511342,1.317976,0.464564,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,800,2.60980332,0.755787,0.609683,0.446655,1.222155,0.415259,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,900,2.78699851,0.866305,0.737888,0.45388,1.101328,0.366332,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,1000,3.40943313,1.664016,1.539361,0.631915,0.971168,0.32827,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,1100,1.48927081,1.074407,0.974683,0.452043,0.822657,0.302479,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,1200,0.79644321,0.44401,0.362948,0.255761,0.696632,0.286794,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,1300,0.71071741,0.457255,0.389152,0.240088,0.594548,0.277019,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,1400,0.48433755,0.37281,0.304062,0.215717,0.508513,0.269635,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,1500,0.40018806,0.350054,0.283763,0.204978,0.443543,0.264757,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,1600,0.34461692,0.378135,0.322406,0.197587,0.383819,0.261918,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,1700,0.27452348,0.304035,0.242033,0.184004,0.34045,0.259525,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,1800,0.24571145,0.344156,0.290858,0.183969,0.305716,0.257269,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,1900,0.20417043,0.271268,0.212157,0.169044,0.275144,0.256253,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,2000,0.22022529,0.307903,0.255939,0.171171,0.249285,0.253838,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,2100,0.22928599,0.263691,0.207437,0.162796,0.23069,0.25202,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,2200,0.14223509,0.231696,0.175061,0.151779,0.213987,0.251319,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,2300,0.1319383,0.231182,0.176421,0.1494,0.201579,0.249566,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,2400,0.16778429,0.32454,0.281682,0.161187,0.190613,0.248266,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,2500,0.38607687,0.954755,0.903294,0.30922,0.179343,0.246155,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,2600,1.91973382,1.48256,1.38812,0.52068,0.171505,0.24421,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,2700,3.9456944,1.539495,1.442704,0.537261,0.163503,0.245585,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,2800,0.09290479,0.186827,0.135389,0.128741,0.16375,0.241393,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,2900,2.65200187,1.953852,1.856123,0.610201,0.155915,0.240919,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,3000,0.13972846,0.367272,0.331883,0.157297,0.156203,0.237073,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,3100,0.08086011,0.171173,0.122765,0.119285,0.154037,0.235164,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,3200,0.13958133,0.367706,0.333543,0.154779,0.151784,0.231486,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,3300,0.07465545,0.162208,0.115266,0.114128,0.149952,0.230048,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,3400,0.14517491,0.442951,0.418345,0.145578,0.147259,0.22691,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,3500,0.94328114,1.295921,1.230159,0.40758,0.148933,0.223839,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,3600,0.0678319,0.153005,0.10953,0.106835,0.145603,0.222698,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,3700,0.10770559,0.254084,0.217055,0.132083,0.144246,0.219762,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,3800,0.06530188,0.183864,0.147659,0.109556,0.142812,0.217517,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,3900,0.11152404,0.369685,0.337567,0.150717,0.141902,0.214398,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,4000,0.07806348,0.179007,0.148444,0.100038,0.140491,0.21196,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,4100,0.204417,0.899679,0.849635,0.295874,0.13914,0.208761,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,4200,0.50106705,0.352568,0.318096,0.152049,0.139584,0.206682,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,4300,0.05433015,0.132187,0.094682,0.092244,0.137883,0.203784,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,4400,0.05330357,0.132005,0.095312,0.091328,0.137047,0.200416,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,4500,5.77360289,2.47166,2.32366,0.842441,0.135226,0.202265,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,4600,0.05041777,0.125598,0.089461,0.088157,0.134729,0.195017,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,4700,1.15351311,1.458674,1.383847,0.461191,0.135623,0.19135,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,4800,0.04812864,0.121616,0.087778,0.084176,0.133367,0.190258,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,4900,0.70101229,1.058114,1.005895,0.3283,0.132598,0.187821,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,5000,0.38203405,0.798118,0.748569,0.276834,0.132272,0.184353,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,5100,0.29435001,0.57442,0.548102,0.17188,0.132428,0.181712,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,5200,0.41719587,0.453217,0.418689,0.173511,0.130469,0.178787,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,5300,0.25289947,0.548696,0.506293,0.211506,0.128653,0.176581,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,5400,0.2536239,0.371536,0.336039,0.158484,0.127926,0.173842,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,5500,0.27905713,0.46691,0.443092,0.147224,0.128123,0.171628,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,5600,0.07041998,0.152872,0.127417,0.084467,0.126781,0.167761,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,5700,0.0555262,0.179579,0.157094,0.087008,0.125513,0.16458,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,5800,0.03819331,0.109495,0.08108,0.073587,0.12479,0.161739,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,5900,0.03924665,0.12802,0.102582,0.076591,0.124413,0.158133,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,6000,0.13576598,0.404379,0.383023,0.129678,0.124623,0.157786,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,6100,0.05977446,0.134783,0.109924,0.077994,0.121595,0.152821,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,6200,0.55539083,0.88843,0.849324,0.260687,0.123105,0.152955,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,6300,0.11262004,0.313109,0.29381,0.108227,0.120584,0.149077,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,6400,0.13286619,0.325152,0.305494,0.111344,0.120756,0.147031,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,6500,0.04169452,0.154121,0.133496,0.077019,0.119771,0.142436,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,6600,0.30640762,0.608966,0.563364,0.231216,0.11853,0.141599,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,6700,0.09372568,0.225549,0.207493,0.088425,0.118509,0.137332,
elasticity,sage,mlp,adam,0.001,0,30,none,multiseed_20260427,6800,2.38660479,1.487478,1.423398,0.43189,0.116361,0.135107,
