problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
elasticity,sage,pirate-net,adam,0.001,23,30,none,multiseed_20260427,100,118.62434798,10.750821,9.244414,5.488257,0.939128,0.834335,
elasticity,sage,pirate-net,adam,0.001,23,30,none,multiseed_20260427,200,1.57601464,1.002779,0.716362,0.701706,0.755187,0.633827,
elasticity,sage,pirate-net,adam,0.001,23,30,none,multiseed_20260427,300,0.66095594,0.582603,0.428487,0.394748,0.566566,0.508176,
elasticity,sage,pirate-net,adam,0.001,23,30,none,multiseed_20260427,400,0.38747816,0.43598,0.331603,0.283052,0.405516,0.433637,
elasticity,sage,pirate-net,adam,0.001,23,30,none,multiseed_20260427,500,0.26226762,0.356743,0.278091,0.223452,0.285765,0.389357,
elasticity,sage,pirate-net,adam,0.001,23,30,none,multiseed_20260427,600,0.25102719,0.406621,0.351425,0.204552,0.205713,0.362918,
elasticity,sage,pirate-net,adam,0.001,23,30,none,multiseed_20260427,700,0.16108116,0.312035,0.261463,0.170303,0.157878,0.345842,
elasticity,sage,pirate-net,adam,0.001,23,30,none,multiseed_20260427,800,0.14405619,0.23824,0.18642,0.148345,0.130133,0.334196,
elasticity,sage,pirate-net,adam,0.001,23,30,none,multiseed_20260427,900,0.14456756,0.280561,0.239439,0.14623,0.113083,0.32687,
elasticity,sage,pirate-net,adam,0.001,23,30,none,multiseed_20260427,1000,0.15004733,0.260556,0.22289,0.134942,0.102958,0.320522,
elasticity,sage,pirate-net,adam,0.001,23,30,none,multiseed_20260427,1100,0.28649898,0.392637,0.355357,0.16699,0.096703,0.313413,
elasticity,sage,pirate-net,adam,0.001,23,30,none,multiseed_20260427,1200,0.16060553,0.344254,0.316251,0.136002,0.090331,0.308998,
elasticity,sage,pirate-net,adam,0.001,23,30,none,multiseed_20260427,1300,0.22525601,0.408325,0.375869,0.159538,0.085115,0.30584,
elasticity,sage,pirate-net,adam,0.001,23,30,none,multiseed_20260427,1400,0.10253745,0.379579,0.35901,0.123256,0.081621,0.299504,
elasticity,sage,pirate-net,adam,0.001,23,30,none,multiseed_20260427,1500,0.10114083,0.201236,0.172736,0.10324,0.079582,0.295027,
elasticity,sage,pirate-net,adam,0.001,23,30,none,multiseed_20260427,1600,0.07951871,0.161673,0.13331,0.09147,0.077622,0.29026,
elasticity,sage,pirate-net,adam,0.001,23,30,none,multiseed_20260427,1700,0.07369577,0.156532,0.128394,0.089539,0.076169,0.285246,
elasticity,sage,pirate-net,adam,0.001,23,30,none,multiseed_20260427,1800,0.06869898,0.145857,0.119002,0.084337,0.075039,0.281341,
elasticity,sage,pirate-net,adam,0.001,23,30,none,multiseed_20260427,1900,0.05946107,0.115802,0.085987,0.077566,0.074234,0.276886,
elasticity,sage,pirate-net,adam,0.001,23,30,none,multiseed_20260427,2000,0.09643094,0.257421,0.235786,0.1033,0.07358,0.272168,
elasticity,sage,pirate-net,adam,0.001,23,30,none,multiseed_20260427,2100,0.0595707,0.135602,0.114355,0.072877,0.072767,0.268621,
