problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,100,244.58633423,16.419662,15.072866,6.512605,1.52109,1.188074,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,200,5.89927387,2.50386,2.119297,1.333377,1.259938,1.144282,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,300,3.15068293,1.62075,1.394162,0.826523,1.21146,0.955068,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,400,2.08716202,1.207584,1.03939,0.614758,1.055975,0.802975,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,500,1.83551478,1.014803,0.875457,0.513225,0.88875,0.680144,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,600,1.05272627,0.878149,0.754523,0.449268,0.732768,0.591075,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,700,0.77992678,0.838597,0.733841,0.40586,0.585175,0.526851,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,800,0.5716958,0.705964,0.608212,0.358417,0.470143,0.477642,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,900,0.4479084,1.242204,1.150261,0.469011,0.384995,0.438898,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,1000,0.35309643,0.595674,0.517088,0.295715,0.308868,0.406633,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,1100,0.29101712,0.54735,0.474631,0.272612,0.258886,0.379553,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,1200,0.26022005,0.572351,0.50875,0.262219,0.226465,0.357402,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,1300,0.22127125,0.483021,0.419991,0.238573,0.203273,0.33784,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,1400,0.19703931,0.45261,0.392268,0.225792,0.186889,0.320896,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,1500,0.31514582,0.457816,0.404944,0.213578,0.174735,0.306056,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,1600,0.16431865,0.406678,0.351224,0.205009,0.167032,0.293404,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,1700,0.20797899,0.480685,0.432444,0.20988,0.160152,0.28209,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,1800,0.14298859,0.377826,0.327983,0.187563,0.155637,0.272763,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,1900,0.13261716,0.361919,0.31246,0.18263,0.151776,0.262999,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,2000,0.14705539,0.43626,0.392213,0.191028,0.147735,0.254292,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,2100,10.48085117,3.110554,2.954122,0.974018,0.151441,0.244172,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,2200,0.11063631,0.323927,0.278824,0.16488,0.140974,0.240242,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,2300,0.10418336,0.312851,0.268263,0.160969,0.138528,0.233319,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,2400,0.13904354,0.364478,0.322165,0.170453,0.136037,0.228638,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,2500,0.09482093,0.299645,0.258309,0.151867,0.134041,0.222093,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,2600,0.09398782,0.285714,0.243347,0.149714,0.130765,0.215464,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,2700,1.25393414,1.064303,1.008314,0.340652,0.127803,0.212692,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,2800,0.08216648,0.277394,0.239199,0.140467,0.126999,0.207048,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,2900,0.27315781,0.766386,0.719326,0.264418,0.123697,0.201584,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,3000,0.88520312,1.145444,1.084592,0.368377,0.12404,0.196893,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,3100,0.073036,0.258816,0.223541,0.130441,0.12089,0.194255,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,3200,0.0926359,0.319491,0.283594,0.147137,0.119244,0.189612,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,3300,0.06836472,0.254858,0.220445,0.127894,0.117696,0.186632,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,3400,0.46615636,0.918141,0.875094,0.277835,0.114814,0.180771,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,3500,0.06239906,0.242323,0.20893,0.122755,0.113137,0.178357,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,3600,0.07314548,0.257741,0.226787,0.122467,0.111416,0.176018,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,3700,0.05855536,0.23688,0.204589,0.119398,0.109986,0.171826,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,3800,0.06007119,0.224041,0.189897,0.118885,0.107379,0.168149,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,3900,0.06354591,0.240318,0.207766,0.120772,0.106148,0.165443,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,4000,1.60118926,1.481503,1.408216,0.460193,0.103706,0.162863,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,4100,0.05174033,0.22918,0.197472,0.116312,0.103126,0.159016,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,4200,0.05613687,0.203078,0.167114,0.115385,0.100441,0.155708,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,4300,0.13632055,0.305106,0.277236,0.127397,0.098796,0.153657,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,4400,0.04714071,0.223748,0.191741,0.11532,0.097653,0.149953,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,4500,0.12025409,0.236716,0.204745,0.118802,0.09519,0.146926,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,4600,0.09122142,0.329813,0.294609,0.148264,0.094402,0.144787,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,4700,0.04341558,0.220676,0.188338,0.115008,0.092702,0.141843,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,4800,0.21497491,0.587366,0.552671,0.19888,0.090357,0.139274,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,4900,0.04179522,0.216239,0.182944,0.115287,0.089881,0.13682,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,5000,0.28933528,0.587516,0.559408,0.17955,0.088262,0.134615,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,5100,0.03914912,0.214992,0.18191,0.114588,0.086468,0.13194,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,5200,1.77589977,1.371239,1.28783,0.470947,0.088354,0.128037,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,5300,0.03717494,0.216925,0.183796,0.115219,0.084121,0.127182,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,5400,0.05510787,0.2722,0.243118,0.122418,0.082139,0.125124,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,5500,0.64091986,0.993589,0.946031,0.303718,0.079767,0.122181,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,5600,0.03492985,0.221799,0.188881,0.116271,0.07997,0.120614,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,5700,0.03379606,0.210368,0.177224,0.113343,0.0785,0.118832,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,5800,0.04117046,0.272155,0.242378,0.123778,0.077293,0.116786,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,5900,0.0489391,0.283386,0.254384,0.124885,0.076161,0.114846,
elasticity,sk-pinn,mlp,adam,0.001,42,100,none,multiseed_20260427,6000,0.04404513,0.300029,0.271586,0.127508,0.074772,0.112887,
