problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,100,237.30311584,16.239653,14.209111,7.863043,0.455974,0.470871,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,200,10.70316601,3.911849,3.197784,2.253162,0.836049,0.339506,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,300,2.39808798,1.814574,1.533058,0.970778,0.84402,0.29959,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,400,1.32447338,1.258737,1.082597,0.642185,0.814394,0.282703,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,500,1.01950264,1.053351,0.92703,0.500163,0.785687,0.276131,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,600,0.85882008,0.918686,0.817659,0.418827,0.761611,0.269781,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,700,0.77258444,0.832995,0.745655,0.37132,0.739239,0.263411,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,800,0.69979602,0.797127,0.718955,0.344259,0.717681,0.257401,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,900,0.6453076,0.753141,0.680489,0.322731,0.695057,0.251884,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,1000,0.59366804,0.731336,0.663978,0.306571,0.672343,0.246694,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,1100,0.55016148,0.702297,0.638263,0.292988,0.649173,0.241725,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,1200,0.50976694,0.68997,0.629917,0.281538,0.626282,0.236945,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,1300,0.49014878,0.686103,0.62787,0.276617,0.603749,0.23206,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,1400,0.44006407,0.659922,0.604573,0.264553,0.581009,0.227808,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,1500,1.06185961,0.949671,0.892257,0.325195,0.561648,0.222557,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,1600,0.38037071,0.630869,0.578185,0.252386,0.537261,0.219269,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,1700,0.35314265,0.622245,0.570946,0.247406,0.516016,0.215096,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,1800,0.32965463,0.598812,0.547288,0.243005,0.495254,0.211215,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,1900,0.3039363,0.59313,0.542836,0.239024,0.474936,0.207271,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,2000,0.84720492,0.967055,0.9195,0.299525,0.450484,0.204995,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,2100,0.26001424,0.560357,0.51031,0.231481,0.43533,0.199782,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,2200,0.23962992,0.545459,0.495969,0.227026,0.41596,0.196003,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,2300,0.22389469,0.556475,0.505614,0.232419,0.397537,0.19236,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,2400,0.2032828,0.508713,0.45861,0.22015,0.378742,0.188799,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,2500,0.18653853,0.492013,0.441896,0.216344,0.360447,0.185098,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,2600,0.17273936,0.475013,0.423701,0.214744,0.342916,0.181681,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,2700,0.15730117,0.455644,0.404529,0.209685,0.325642,0.177903,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,2800,0.19036277,0.590849,0.538622,0.242878,0.309391,0.173817,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,2900,0.13241112,0.419977,0.368377,0.201689,0.292514,0.170539,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,3000,0.12146832,0.411177,0.359922,0.198802,0.277203,0.166788,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,3100,0.11303939,0.419526,0.367913,0.201598,0.262789,0.16339,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,3200,0.10315427,0.393987,0.343399,0.19314,0.249162,0.159858,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,3300,0.19401385,0.406557,0.364604,0.179868,0.236211,0.156502,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,3400,0.08847332,0.380273,0.330554,0.187992,0.22477,0.153328,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,3500,0.08204541,0.374404,0.325209,0.18552,0.213788,0.150122,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,3600,0.07714709,0.36291,0.313647,0.182562,0.20379,0.147271,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,3700,0.07159388,0.358488,0.309684,0.180581,0.19451,0.144156,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,3800,0.07271985,0.372428,0.324789,0.18225,0.185961,0.141552,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,3900,0.06297551,0.343847,0.295596,0.175653,0.177821,0.138519,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,4000,0.08782443,0.33844,0.299241,0.158102,0.16998,0.135828,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,4100,0.05604351,0.329961,0.282032,0.171265,0.163723,0.133009,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,4200,0.05282721,0.323178,0.275708,0.16861,0.157536,0.130216,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,4300,0.05443987,0.298858,0.25379,0.157818,0.151576,0.128088,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,4400,0.04753836,0.3096,0.262566,0.164045,0.146524,0.125064,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,4500,0.10138538,0.406604,0.377165,0.1519,0.141625,0.122647,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,4600,0.04323234,0.295354,0.249086,0.158714,0.137435,0.119861,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,4700,0.04208228,0.300828,0.254595,0.160245,0.133464,0.117538,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,4800,0.0394756,0.288837,0.242849,0.156368,0.12996,0.114927,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,4900,0.03832326,0.276478,0.231377,0.151344,0.126553,0.11292,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,5000,0.03634264,0.274538,0.229382,0.150849,0.123758,0.110312,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,5100,0.04253745,0.292472,0.246271,0.157766,0.12105,0.107827,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,5200,0.07084266,0.285803,0.251979,0.134871,0.118613,0.106058,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,5300,0.04517794,0.325063,0.280751,0.163843,0.116341,0.103263,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,5400,0.03152722,0.252157,0.208911,0.141207,0.114337,0.101435,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,5500,0.03554678,0.248374,0.208163,0.135491,0.112442,0.099742,
elasticity,sk-pinn,pirate-net,adam,0.001,0,100,none,multiseed_20260427,5600,0.0294616,0.245672,0.203142,0.13816,0.110802,0.097222,
