problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
kovasznay,autodiff,mlp,adam,0.001,23,30,none,multiseed_20260427,100,0.22148925,0.103153,0.088081,0.053686,0.876108,0.211489,0.12957
kovasznay,autodiff,mlp,adam,0.001,23,30,none,multiseed_20260427,200,0.17732048,0.190413,0.044962,0.185028,0.655852,0.160397,0.189821
kovasznay,autodiff,mlp,adam,0.001,23,30,none,multiseed_20260427,300,0.15360914,0.144707,0.090016,0.113302,0.635023,0.163777,0.176024
kovasznay,autodiff,mlp,adam,0.001,23,30,none,multiseed_20260427,400,0.12637703,0.130191,0.062296,0.114319,0.604975,0.147473,0.206808
kovasznay,autodiff,mlp,adam,0.001,23,30,none,multiseed_20260427,500,0.11758056,0.117624,0.05226,0.105376,0.594884,0.140377,0.217391
kovasznay,autodiff,mlp,adam,0.001,23,30,none,multiseed_20260427,600,0.10901442,0.108864,0.054548,0.094211,0.575463,0.1323,0.221386
kovasznay,autodiff,mlp,adam,0.001,23,30,none,multiseed_20260427,700,0.09423014,0.115363,0.061919,0.097337,0.491247,0.123892,0.215607
kovasznay,autodiff,mlp,adam,0.001,23,30,none,multiseed_20260427,800,0.06241107,0.12641,0.08063,0.097357,0.30404,0.105087,0.175568
kovasznay,autodiff,mlp,adam,0.001,23,30,none,multiseed_20260427,900,0.02224555,0.100053,0.050478,0.086387,0.158417,0.0551,0.080273
kovasznay,autodiff,mlp,adam,0.001,23,30,none,multiseed_20260427,1000,0.01142723,0.072285,0.037691,0.061681,0.128787,0.037782,0.038525
kovasznay,autodiff,mlp,adam,0.001,23,30,none,multiseed_20260427,1100,0.00836161,0.059563,0.031517,0.050541,0.115286,0.034381,0.028313
kovasznay,autodiff,mlp,adam,0.001,23,30,none,multiseed_20260427,1200,0.00700425,0.050514,0.028663,0.041594,0.111148,0.032881,0.023441
kovasznay,autodiff,mlp,adam,0.001,23,30,none,multiseed_20260427,1300,0.00957491,0.052485,0.027472,0.044721,0.095358,0.031659,0.028757
kovasznay,autodiff,mlp,adam,0.001,23,30,none,multiseed_20260427,1400,0.00561796,0.045139,0.026481,0.036555,0.104754,0.029447,0.019536
kovasznay,autodiff,mlp,adam,0.001,23,30,none,multiseed_20260427,1500,0.00636999,0.060907,0.023622,0.05614,0.096838,0.031817,0.017103
kovasznay,autodiff,mlp,adam,0.001,23,30,none,multiseed_20260427,1600,0.00474787,0.037069,0.021892,0.029915,0.092696,0.028976,0.016538
kovasznay,autodiff,mlp,adam,0.001,23,30,none,multiseed_20260427,1700,0.00447732,0.035242,0.020108,0.028943,0.090601,0.027934,0.015712
kovasznay,autodiff,mlp,adam,0.001,23,30,none,multiseed_20260427,1800,0.00548775,0.041127,0.023774,0.033559,0.080312,0.029018,0.015809
kovasznay,autodiff,mlp,adam,0.001,23,30,none,multiseed_20260427,1900,0.00416573,0.035269,0.01789,0.030394,0.084094,0.026751,0.01457
