problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,100,0.21761185,0.14709,0.094406,0.112797,0.737161,0.117557,0.227022
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,200,0.14598455,0.127546,0.079919,0.099403,0.679871,0.141884,0.16094
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,300,0.08392387,0.0961,0.058505,0.076239,0.548417,0.161483,0.118393
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,400,0.06226086,0.079838,0.041386,0.068273,0.47132,0.167159,0.113357
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,500,0.04789367,0.074964,0.040516,0.063072,0.398824,0.157672,0.113148
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,600,0.03779469,0.077958,0.041853,0.06577,0.332036,0.142002,0.114074
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,700,0.02738884,0.079781,0.037512,0.070413,0.256587,0.11435,0.110498
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,800,0.01717079,0.077425,0.035714,0.068696,0.176776,0.083396,0.0955
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,900,0.00943661,0.075274,0.032848,0.067729,0.113195,0.057337,0.072089
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,1000,0.00484909,0.08209,0.03071,0.076129,0.070676,0.037527,0.047885
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,1100,0.00222197,0.076082,0.024784,0.071932,0.04705,0.025469,0.031168
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,1200,0.00123625,0.072281,0.022084,0.068825,0.033149,0.017666,0.019568
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,1300,0.00391601,0.09629,0.033444,0.090295,0.02448,0.014316,0.014945
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,1400,0.00055618,0.063358,0.019166,0.060389,0.019915,0.009879,0.009415
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,1500,0.00041888,0.060816,0.018462,0.057946,0.01656,0.008137,0.007374
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,1600,0.00035234,0.057992,0.018147,0.055079,0.014784,0.007356,0.006499
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,1700,0.00028193,0.056214,0.017818,0.053315,0.013028,0.006505,0.005603
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,1800,0.0002458,0.054799,0.017711,0.051858,0.011709,0.005965,0.005166
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,1900,0.00020229,0.053213,0.017464,0.050266,0.010948,0.005565,0.004751
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,2000,0.00018508,0.051502,0.017475,0.048446,0.010358,0.005317,0.00456
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,2100,0.00015628,0.050365,0.01725,0.047319,0.009608,0.004969,0.004301
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,2200,0.00014369,0.049254,0.017221,0.046145,0.00914,0.00473,0.004073
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,2300,0.00043403,0.049968,0.018113,0.046569,0.008895,0.004736,0.004149
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,2400,0.00011727,0.047227,0.017058,0.044039,0.008266,0.004338,0.003844
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,2500,0.0003024,0.047929,0.018181,0.044347,0.008266,0.004433,0.004022
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,2600,9.993e-05,0.045604,0.016908,0.042354,0.007617,0.003995,0.003565
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,2700,9.627e-05,0.044689,0.01689,0.041374,0.007294,0.003853,0.003451
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,2800,9.909e-05,0.044449,0.01693,0.041098,0.007055,0.003947,0.00333
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,2900,0.00019473,0.043911,0.017091,0.040449,0.007021,0.003653,0.003088
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,3000,7.991e-05,0.042907,0.016721,0.039515,0.006523,0.003463,0.003128
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,3100,7.558e-05,0.042301,0.016642,0.03889,0.006296,0.003354,0.003005
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,3200,7.759e-05,0.041923,0.016658,0.038471,0.006122,0.003321,0.002924
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,3300,7.408e-05,0.041515,0.016663,0.038025,0.005886,0.003275,0.002836
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,3400,0.00019874,0.041182,0.01676,0.037617,0.005816,0.003367,0.002798
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,3500,0.00032318,0.040874,0.016687,0.037312,0.006036,0.002978,0.002619
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,3600,0.00032058,0.040834,0.016802,0.037217,0.005475,0.003226,0.002718
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,3700,7.526e-05,0.039898,0.016435,0.036356,0.005343,0.002852,0.002402
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,3800,5.956e-05,0.039368,0.016338,0.035818,0.00503,0.002723,0.002414
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,3900,0.00035144,0.042977,0.017271,0.039354,0.00542,0.003648,0.00218
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,4000,0.00057915,0.042436,0.017299,0.03875,0.00524,0.003708,0.00195
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,4100,4.688e-05,0.038419,0.016174,0.034849,0.004603,0.002553,0.002238
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,4200,0.0003116,0.040246,0.017726,0.036133,0.005251,0.002639,0.002459
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,4300,0.00012323,0.038701,0.016347,0.035079,0.004619,0.002544,0.001937
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,4400,0.00013836,0.038464,0.016349,0.034816,0.004275,0.002475,0.002193
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,4500,0.00022582,0.038627,0.016614,0.034872,0.004363,0.002582,0.002145
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,4600,4.243e-05,0.037339,0.015941,0.033765,0.004047,0.002342,0.001942
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,4700,0.00015491,0.038116,0.016319,0.034446,0.004007,0.002482,0.001978
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,4800,9.09e-05,0.037179,0.016052,0.033535,0.003937,0.002259,0.001886
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,4900,9.245e-05,0.037453,0.01591,0.033905,0.003888,0.002421,0.001859
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,5000,0.00027484,0.039626,0.016497,0.036029,0.004156,0.002921,0.001891
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,5100,5.276e-05,0.036166,0.015618,0.03262,0.003633,0.002082,0.001764
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,5200,0.0011781,0.044965,0.017799,0.041293,0.004555,0.004567,0.001829
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,5300,8.843e-05,0.036352,0.015635,0.032818,0.003421,0.002056,0.001836
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,5400,0.00013201,0.037184,0.015634,0.033738,0.003677,0.002354,0.001519
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,5500,0.00030184,0.038039,0.015968,0.034525,0.003822,0.002615,0.001372
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,5600,0.00017039,0.037593,0.015863,0.034082,0.00391,0.002398,0.001429
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,5700,0.00021068,0.037667,0.015956,0.03412,0.003904,0.002353,0.001364
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,5800,0.00086297,0.044824,0.017983,0.041059,0.004547,0.004033,0.001311
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,5900,0.00032884,0.036596,0.01549,0.033157,0.003992,0.002512,0.0017
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,6000,4.599e-05,0.035149,0.014838,0.031864,0.003107,0.001874,0.001454
kovasznay,autodiff,pirate-net,adam,0.001,1,30,none,multiseed_20260427,6100,2.798e-05,0.034665,0.014716,0.031386,0.003015,0.001788,0.001456
