problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
kovasznay,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,100,0.24654345,0.096756,0.072473,0.064104,0.79685,0.187316,0.168646
kovasznay,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,200,0.19059758,0.117036,0.069979,0.093811,0.646775,0.154737,0.221446
kovasznay,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,300,0.16884334,0.12176,0.065742,0.102487,0.594965,0.154485,0.220532
kovasznay,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,400,0.07982085,0.180503,0.096812,0.152344,0.286443,0.100232,0.160075
kovasznay,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,500,0.01697456,0.112248,0.076046,0.082563,0.164842,0.036658,0.040226
kovasznay,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,600,0.01004927,0.090189,0.059851,0.067468,0.136405,0.028274,0.028866
kovasznay,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,700,0.00821022,0.096538,0.048945,0.08321,0.115931,0.030986,0.023293
kovasznay,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,800,0.00681559,0.080479,0.043377,0.067788,0.108421,0.026318,0.018155
kovasznay,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,900,0.00495718,0.066242,0.039833,0.052928,0.100451,0.020778,0.014884
kovasznay,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,1000,0.00444139,0.065033,0.037979,0.052791,0.088929,0.019165,0.012577
kovasznay,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,1100,0.00498436,0.06907,0.034901,0.059603,0.086886,0.022379,0.010509
kovasznay,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,1200,0.00327113,0.058994,0.033186,0.048775,0.075861,0.016817,0.009434
kovasznay,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,1300,0.00290151,0.055419,0.031155,0.045833,0.070227,0.016178,0.008687
kovasznay,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,1400,0.00310022,0.05336,0.028323,0.045222,0.065429,0.017147,0.009585
kovasznay,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,1500,0.00315511,0.054785,0.027452,0.047411,0.062355,0.01736,0.008533
kovasznay,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,1600,0.0028855,0.061519,0.031368,0.05292,0.056492,0.014072,0.009649
kovasznay,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,1700,0.00263356,0.053591,0.025314,0.047236,0.051302,0.015489,0.008175
kovasznay,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,1800,0.00227452,0.046708,0.023171,0.040556,0.049413,0.015338,0.012146
kovasznay,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,1900,0.00264499,0.048839,0.025123,0.041882,0.051625,0.012413,0.009094
kovasznay,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,2000,0.00198847,0.050141,0.02533,0.043272,0.050642,0.011981,0.009387
kovasznay,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,2100,0.00214959,0.052707,0.022454,0.047685,0.055974,0.012335,0.009873
kovasznay,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,2200,0.00164349,0.058167,0.025641,0.052211,0.044028,0.012481,0.015462
kovasznay,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,2300,0.00309579,0.055762,0.025501,0.04959,0.053915,0.010752,0.008485
kovasznay,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,2400,0.00125654,0.045751,0.022212,0.039997,0.036158,0.010625,0.007239
kovasznay,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,2500,0.00231537,0.046086,0.021483,0.040772,0.04567,0.010887,0.007937
kovasznay,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,2600,0.00107235,0.05193,0.022518,0.046794,0.044933,0.009294,0.007544
kovasznay,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,2700,0.00143733,0.047304,0.019433,0.043128,0.031375,0.011864,0.007158
kovasznay,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,2800,0.00111298,0.041558,0.020123,0.036361,0.029366,0.009224,0.008558
kovasznay,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,2900,0.0010038,0.038084,0.018996,0.033009,0.026351,0.009216,0.006754
kovasznay,can-pinn-faithful,mlp,adam,0.001,0,51,none,can_pinn_faithful_20260503,3000,0.00098986,0.040365,0.020334,0.034869,0.02894,0.008057,0.006824
