problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
kovasznay,can-pinn-faithful,pirate-net,adam,0.001,1,51,none,can_pinn_faithful_20260503,100,0.2308684,0.130394,0.070612,0.10962,0.687686,0.109963,0.257874
kovasznay,can-pinn-faithful,pirate-net,adam,0.001,1,51,none,can_pinn_faithful_20260503,200,0.17182413,0.107914,0.068644,0.083267,0.647363,0.139076,0.182584
kovasznay,can-pinn-faithful,pirate-net,adam,0.001,1,51,none,can_pinn_faithful_20260503,300,0.10219347,0.09713,0.053315,0.081189,0.541871,0.151928,0.112641
kovasznay,can-pinn-faithful,pirate-net,adam,0.001,1,51,none,can_pinn_faithful_20260503,400,0.06587351,0.102558,0.062263,0.081495,0.411652,0.144878,0.117747
kovasznay,can-pinn-faithful,pirate-net,adam,0.001,1,51,none,can_pinn_faithful_20260503,500,0.03424355,0.103893,0.058479,0.085872,0.233358,0.096958,0.112616
kovasznay,can-pinn-faithful,pirate-net,adam,0.001,1,51,none,can_pinn_faithful_20260503,600,0.01342129,0.094777,0.050371,0.080283,0.112376,0.054926,0.078073
kovasznay,can-pinn-faithful,pirate-net,adam,0.001,1,51,none,can_pinn_faithful_20260503,700,0.00488413,0.07542,0.03886,0.064638,0.058199,0.031743,0.043904
kovasznay,can-pinn-faithful,pirate-net,adam,0.001,1,51,none,can_pinn_faithful_20260503,800,0.00248742,0.067747,0.033427,0.058926,0.0359,0.01745,0.02044
kovasznay,can-pinn-faithful,pirate-net,adam,0.001,1,51,none,can_pinn_faithful_20260503,900,0.0010595,0.064406,0.031555,0.056146,0.024716,0.011166,0.011758
kovasznay,can-pinn-faithful,pirate-net,adam,0.001,1,51,none,can_pinn_faithful_20260503,1000,0.00298563,0.080444,0.037434,0.071204,0.019503,0.010117,0.007847
kovasznay,can-pinn-faithful,pirate-net,adam,0.001,1,51,none,can_pinn_faithful_20260503,1100,0.00036845,0.057425,0.026304,0.051046,0.014486,0.006412,0.005803
kovasznay,can-pinn-faithful,pirate-net,adam,0.001,1,51,none,can_pinn_faithful_20260503,1200,0.00028327,0.057158,0.025154,0.051325,0.012408,0.005374,0.004653
kovasznay,can-pinn-faithful,pirate-net,adam,0.001,1,51,none,can_pinn_faithful_20260503,1300,0.00116653,0.070591,0.029502,0.064131,0.011509,0.006717,0.003778
kovasznay,can-pinn-faithful,pirate-net,adam,0.001,1,51,none,can_pinn_faithful_20260503,1400,0.00018302,0.057184,0.023274,0.052233,0.009475,0.004083,0.003357
kovasznay,can-pinn-faithful,pirate-net,adam,0.001,1,51,none,can_pinn_faithful_20260503,1500,0.00245803,0.072312,0.029926,0.065829,0.010635,0.007316,0.003756
kovasznay,can-pinn-faithful,pirate-net,adam,0.001,1,51,none,can_pinn_faithful_20260503,1600,0.00013276,0.057399,0.021764,0.053113,0.007752,0.00337,0.002689
kovasznay,can-pinn-faithful,pirate-net,adam,0.001,1,51,none,can_pinn_faithful_20260503,1700,0.00011968,0.057716,0.021349,0.053622,0.00746,0.003215,0.002548
kovasznay,can-pinn-faithful,pirate-net,adam,0.001,1,51,none,can_pinn_faithful_20260503,1800,0.00029097,0.05854,0.021116,0.054599,0.006759,0.003436,0.002518
kovasznay,can-pinn-faithful,pirate-net,adam,0.001,1,51,none,can_pinn_faithful_20260503,1900,9.393e-05,0.058293,0.020108,0.054715,0.006269,0.002766,0.00215
kovasznay,can-pinn-faithful,pirate-net,adam,0.001,1,51,none,can_pinn_faithful_20260503,2000,8.612e-05,0.058578,0.019779,0.055137,0.006011,0.002644,0.002066
kovasznay,can-pinn-faithful,pirate-net,adam,0.001,1,51,none,can_pinn_faithful_20260503,2100,7.888e-05,0.058818,0.019307,0.055558,0.005563,0.002504,0.001931
