problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
kovasznay,chebyshev-pinn,mlp,adam,0.001,7,30,none,canpinn_hpc_20260428,100,0.22394261,0.106067,0.091992,0.052797,0.882158,0.209287,0.119415
kovasznay,chebyshev-pinn,mlp,adam,0.001,7,30,none,canpinn_hpc_20260428,200,0.17588525,0.157897,0.130036,0.089566,0.718617,0.162582,0.182281
kovasznay,chebyshev-pinn,mlp,adam,0.001,7,30,none,canpinn_hpc_20260428,300,0.14206386,0.139366,0.061137,0.125241,0.635313,0.156151,0.202879
kovasznay,chebyshev-pinn,mlp,adam,0.001,7,30,none,canpinn_hpc_20260428,400,0.12747534,0.126779,0.07152,0.104679,0.617851,0.14627,0.207751
kovasznay,chebyshev-pinn,mlp,adam,0.001,7,30,none,canpinn_hpc_20260428,500,0.13193096,0.11587,0.069455,0.092746,0.613537,0.153034,0.199329
kovasznay,chebyshev-pinn,mlp,adam,0.001,7,30,none,canpinn_hpc_20260428,600,0.11632339,0.112399,0.059576,0.095311,0.595117,0.138458,0.217457
kovasznay,chebyshev-pinn,mlp,adam,0.001,7,30,none,canpinn_hpc_20260428,700,0.11312397,0.110653,0.051507,0.097934,0.581889,0.13739,0.214926
kovasznay,chebyshev-pinn,mlp,adam,0.001,7,30,none,canpinn_hpc_20260428,800,0.10749768,0.108986,0.046967,0.098346,0.550242,0.132881,0.215459
kovasznay,chebyshev-pinn,mlp,adam,0.001,7,30,none,canpinn_hpc_20260428,900,0.09424334,0.120357,0.070811,0.097322,0.467553,0.122966,0.209804
kovasznay,chebyshev-pinn,mlp,adam,0.001,7,30,none,canpinn_hpc_20260428,1000,0.06843316,0.14534,0.104822,0.100678,0.319104,0.099379,0.173352
kovasznay,chebyshev-pinn,mlp,adam,0.001,7,30,none,canpinn_hpc_20260428,1100,0.05045043,0.124726,0.074163,0.100282,0.215679,0.066906,0.108057
kovasznay,chebyshev-pinn,mlp,adam,0.001,7,30,none,canpinn_hpc_20260428,1200,0.03217502,0.114435,0.056123,0.099728,0.153601,0.051712,0.068441
kovasznay,chebyshev-pinn,mlp,adam,0.001,7,30,none,canpinn_hpc_20260428,1300,0.01413367,0.075274,0.039034,0.064363,0.13984,0.044948,0.046738
kovasznay,chebyshev-pinn,mlp,adam,0.001,7,30,none,canpinn_hpc_20260428,1400,0.01144957,0.063215,0.032475,0.054236,0.136987,0.040461,0.038282
kovasznay,chebyshev-pinn,mlp,adam,0.001,7,30,none,canpinn_hpc_20260428,1500,0.01015131,0.058888,0.027833,0.051895,0.130018,0.039547,0.033333
kovasznay,chebyshev-pinn,mlp,adam,0.001,7,30,none,canpinn_hpc_20260428,1600,0.00900406,0.052567,0.024849,0.046323,0.125773,0.037914,0.02907
kovasznay,chebyshev-pinn,mlp,adam,0.001,7,30,none,canpinn_hpc_20260428,1700,0.00840873,0.050695,0.022652,0.045352,0.121962,0.036808,0.026493
kovasznay,chebyshev-pinn,mlp,adam,0.001,7,30,none,canpinn_hpc_20260428,1800,0.0078739,0.049799,0.0231,0.044117,0.115561,0.036978,0.023787
kovasznay,chebyshev-pinn,mlp,adam,0.001,7,30,none,canpinn_hpc_20260428,1900,0.00783596,0.047141,0.021047,0.042181,0.113644,0.034723,0.022674
kovasznay,chebyshev-pinn,mlp,adam,0.001,7,30,none,canpinn_hpc_20260428,2000,0.00684744,0.044994,0.019674,0.040465,0.110123,0.03432,0.020497
kovasznay,chebyshev-pinn,mlp,adam,0.001,7,30,none,canpinn_hpc_20260428,2100,0.00634494,0.041235,0.018738,0.036732,0.106879,0.033563,0.019153
kovasznay,chebyshev-pinn,mlp,adam,0.001,7,30,none,canpinn_hpc_20260428,2200,0.00615126,0.040251,0.018993,0.035488,0.101541,0.033839,0.017855
