problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
kovasznay,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,100,0.21761443,0.147089,0.094409,0.112792,0.737161,0.117556,0.227022
kovasznay,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,200,0.14597934,0.127542,0.079905,0.099409,0.679852,0.141882,0.160949
kovasznay,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,300,0.0841072,0.096592,0.058674,0.076729,0.548281,0.161579,0.118359
kovasznay,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,400,0.06149808,0.082637,0.047262,0.067788,0.468052,0.165233,0.11397
kovasznay,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,500,0.04835889,0.075638,0.040781,0.063703,0.399376,0.157853,0.113541
kovasznay,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,600,0.03810657,0.072686,0.040622,0.060275,0.33512,0.141982,0.114849
kovasznay,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,700,0.02682297,0.06877,0.036027,0.058577,0.254959,0.112922,0.109445
kovasznay,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,800,0.01646228,0.065657,0.034861,0.055637,0.174463,0.081612,0.093978
kovasznay,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,900,0.01142008,0.085334,0.042891,0.073772,0.108169,0.054052,0.069548
kovasznay,chebyshev-pinn,pirate-net,adam,0.001,1,30,none,canpinn_hpc_20260428,1000,0.0075573,0.05823,0.029244,0.050354,0.067534,0.03339,0.043616
