problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
kovasznay,dtpinn,mlp,lbfgs,0.04,1,30,none,multiseed_20260427,100,0.00059248,0.019721,0.012531,0.015227,0.011419,0.006139,0.005683
kovasznay,dtpinn,mlp,lbfgs,0.04,1,30,none,multiseed_20260427,200,8.779e-05,0.007588,0.003936,0.006487,0.002889,0.001321,0.001935
kovasznay,dtpinn,mlp,lbfgs,0.04,1,30,none,multiseed_20260427,300,3.39e-05,0.004117,0.002402,0.003344,0.003037,0.000991,0.001156
kovasznay,dtpinn,mlp,lbfgs,0.04,1,30,none,multiseed_20260427,400,2.821e-05,0.003864,0.002169,0.003198,0.002605,0.00076,0.00099
kovasznay,dtpinn,mlp,lbfgs,0.04,1,30,none,multiseed_20260427,500,2.82e-05,0.003864,0.002168,0.003198,0.002603,0.00076,0.00099
kovasznay,dtpinn,mlp,lbfgs,0.04,1,30,none,multiseed_20260427,600,2.82e-05,0.003864,0.002168,0.003198,0.002603,0.00076,0.00099
kovasznay,dtpinn,mlp,lbfgs,0.04,1,30,none,multiseed_20260427,700,2.82e-05,0.003864,0.002168,0.003198,0.002603,0.00076,0.00099
kovasznay,dtpinn,mlp,lbfgs,0.04,1,30,none,multiseed_20260427,800,2.82e-05,0.003864,0.002168,0.003198,0.002603,0.00076,0.00099
kovasznay,dtpinn,mlp,lbfgs,0.04,1,30,none,multiseed_20260427,900,2.82e-05,0.003864,0.002168,0.003198,0.002603,0.00076,0.00099
kovasznay,dtpinn,mlp,lbfgs,0.04,1,30,none,multiseed_20260427,1000,2.82e-05,0.003864,0.002168,0.003198,0.002603,0.00076,0.00099
kovasznay,dtpinn,mlp,lbfgs,0.04,1,30,none,multiseed_20260427,1100,2.82e-05,0.003864,0.002168,0.003198,0.002603,0.00076,0.00099
kovasznay,dtpinn,mlp,lbfgs,0.04,1,30,none,multiseed_20260427,1200,2.82e-05,0.003864,0.002168,0.003198,0.002603,0.00076,0.00099
kovasznay,dtpinn,mlp,lbfgs,0.04,1,30,none,multiseed_20260427,1300,2.82e-05,0.003864,0.002168,0.003198,0.002603,0.00076,0.00099
kovasznay,dtpinn,mlp,lbfgs,0.04,1,30,none,multiseed_20260427,1400,2.82e-05,0.003864,0.002168,0.003198,0.002603,0.00076,0.00099
kovasznay,dtpinn,mlp,lbfgs,0.04,1,30,none,multiseed_20260427,1500,2.82e-05,0.003864,0.002168,0.003198,0.002603,0.00076,0.00099
kovasznay,dtpinn,mlp,lbfgs,0.04,1,30,none,multiseed_20260427,1600,2.82e-05,0.003864,0.002168,0.003198,0.002603,0.00076,0.00099
kovasznay,dtpinn,mlp,lbfgs,0.04,1,30,none,multiseed_20260427,1700,2.82e-05,0.003864,0.002168,0.003198,0.002603,0.00076,0.00099
kovasznay,dtpinn,mlp,lbfgs,0.04,1,30,none,multiseed_20260427,1800,2.82e-05,0.003864,0.002168,0.003198,0.002603,0.00076,0.00099
