problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
kovasznay,dtpinn,pirate-net,lbfgs,0.04,42,30,none,multiseed_20260427,100,7.219e-05,0.006109,0.003551,0.004971,0.004005,0.00159,0.002443
kovasznay,dtpinn,pirate-net,lbfgs,0.04,42,30,none,multiseed_20260427,200,1.662e-05,0.002869,0.001374,0.002518,0.002599,0.000961,0.000876
kovasznay,dtpinn,pirate-net,lbfgs,0.04,42,30,none,multiseed_20260427,300,1.115e-05,0.002307,0.001092,0.002032,0.001843,0.000689,0.000664
kovasznay,dtpinn,pirate-net,lbfgs,0.04,42,30,none,multiseed_20260427,400,1.115e-05,0.002306,0.001092,0.002031,0.001841,0.000689,0.000663
kovasznay,dtpinn,pirate-net,lbfgs,0.04,42,30,none,multiseed_20260427,500,1.114e-05,0.002305,0.001092,0.00203,0.00184,0.00069,0.000662
kovasznay,dtpinn,pirate-net,lbfgs,0.04,42,30,none,multiseed_20260427,600,1.114e-05,0.002305,0.001091,0.00203,0.00184,0.00069,0.000662
kovasznay,dtpinn,pirate-net,lbfgs,0.04,42,30,none,multiseed_20260427,700,1.113e-05,0.002304,0.001091,0.00203,0.001839,0.00069,0.000661
kovasznay,dtpinn,pirate-net,lbfgs,0.04,42,30,none,multiseed_20260427,800,1.113e-05,0.002304,0.001091,0.002029,0.001839,0.000691,0.000661
kovasznay,dtpinn,pirate-net,lbfgs,0.04,42,30,none,multiseed_20260427,900,1.113e-05,0.002303,0.001091,0.002029,0.001839,0.000691,0.000661
kovasznay,dtpinn,pirate-net,lbfgs,0.04,42,30,none,multiseed_20260427,1000,1.113e-05,0.002303,0.001091,0.002029,0.001839,0.000691,0.000661
kovasznay,dtpinn,pirate-net,lbfgs,0.04,42,30,none,multiseed_20260427,1100,1.113e-05,0.002303,0.001091,0.002029,0.001839,0.000691,0.000661
kovasznay,dtpinn,pirate-net,lbfgs,0.04,42,30,none,multiseed_20260427,1200,1.113e-05,0.002303,0.001091,0.002029,0.001839,0.000691,0.000661
kovasznay,dtpinn,pirate-net,lbfgs,0.04,42,30,none,multiseed_20260427,1300,1.113e-05,0.002303,0.001091,0.002029,0.001839,0.000691,0.000661
kovasznay,dtpinn,pirate-net,lbfgs,0.04,42,30,none,multiseed_20260427,1400,1.113e-05,0.002303,0.001091,0.002029,0.001839,0.000691,0.000661
kovasznay,dtpinn,pirate-net,lbfgs,0.04,42,30,none,multiseed_20260427,1500,1.113e-05,0.002303,0.001091,0.002029,0.001839,0.000691,0.000661
kovasznay,dtpinn,pirate-net,lbfgs,0.04,42,30,none,multiseed_20260427,1600,1.113e-05,0.002303,0.001091,0.002029,0.001839,0.000691,0.000661
kovasznay,dtpinn,pirate-net,lbfgs,0.04,42,30,none,multiseed_20260427,1700,1.113e-05,0.002303,0.001091,0.002029,0.001839,0.000691,0.000661
kovasznay,dtpinn,pirate-net,lbfgs,0.04,42,30,none,multiseed_20260427,1800,1.113e-05,0.002303,0.001091,0.002029,0.001839,0.000691,0.000661
kovasznay,dtpinn,pirate-net,lbfgs,0.04,42,30,none,multiseed_20260427,1900,1.113e-05,0.002303,0.001091,0.002029,0.001839,0.000691,0.000661
kovasznay,dtpinn,pirate-net,lbfgs,0.04,42,30,none,multiseed_20260427,2000,1.113e-05,0.002303,0.001091,0.002029,0.001839,0.000691,0.000661
kovasznay,dtpinn,pirate-net,lbfgs,0.04,42,30,none,multiseed_20260427,2100,1.113e-05,0.002303,0.001091,0.002029,0.001839,0.000691,0.000661
kovasznay,dtpinn,pirate-net,lbfgs,0.04,42,30,none,multiseed_20260427,2200,1.113e-05,0.002303,0.001091,0.002029,0.001839,0.000691,0.000661
