problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,100,0.22305721,0.107652,0.093309,0.053688,0.876231,0.20839,0.122377
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,200,0.17586587,0.162971,0.111605,0.11876,0.695142,0.173293,0.169652
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,300,0.14581747,0.154515,0.074219,0.135522,0.639057,0.155088,0.187883
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,400,0.13400026,0.137722,0.069925,0.11865,0.61825,0.15489,0.196667
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,500,0.12963656,0.120265,0.066286,0.100348,0.600834,0.143942,0.209291
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,600,0.11509675,0.131601,0.059458,0.117404,0.567675,0.138266,0.217565
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,700,0.10016325,0.114024,0.055274,0.099731,0.511762,0.12929,0.213919
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,800,0.08441646,0.120764,0.068127,0.099713,0.431846,0.11927,0.202505
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,900,0.0639055,0.133079,0.063627,0.116883,0.292289,0.101491,0.159431
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,1000,0.04147494,0.121745,0.066354,0.102073,0.173276,0.068009,0.100443
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,1100,0.01801923,0.087495,0.051627,0.07064,0.147812,0.050873,0.060181
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,1200,0.0125607,0.074914,0.044402,0.060337,0.133082,0.045831,0.045017
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,1300,0.00967002,0.063039,0.037726,0.050504,0.125768,0.040765,0.035261
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,1400,0.00837166,0.058055,0.032616,0.048026,0.116576,0.038035,0.030977
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,1500,0.00809655,0.06037,0.030437,0.052136,0.105349,0.039572,0.029799
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,1600,0.00842139,0.058755,0.029805,0.050634,0.093754,0.037677,0.029879
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,1700,0.00612269,0.04612,0.025162,0.038652,0.101011,0.034112,0.023283
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,1800,0.00571799,0.044023,0.024024,0.03689,0.098555,0.032921,0.022112
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,1900,0.00531567,0.041973,0.022746,0.035275,0.092987,0.031539,0.020258
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,2000,0.00506053,0.041148,0.022342,0.034555,0.090479,0.029635,0.018968
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,2100,0.00466313,0.038217,0.020826,0.032044,0.086447,0.029734,0.017802
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,2200,0.00443911,0.037323,0.020041,0.031486,0.082213,0.028453,0.016932
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,2300,0.00434717,0.03712,0.02027,0.031097,0.082773,0.027744,0.016194
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,2400,0.0495634,0.181624,0.028637,0.179352,0.07797,0.048184,0.016678
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,2500,0.00478136,0.049529,0.028039,0.040828,0.069261,0.027932,0.014256
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,2600,0.00347644,0.031579,0.017308,0.026413,0.071186,0.025313,0.013779
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,2700,0.0049121,0.072116,0.017835,0.069876,0.062771,0.030245,0.017682
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,2800,0.00322679,0.032568,0.017726,0.027321,0.064043,0.025011,0.013052
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,2900,0.00650037,0.067652,0.033636,0.058697,0.057757,0.02801,0.021093
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,3000,0.00701647,0.073187,0.017449,0.071076,0.055422,0.027067,0.015461
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,3100,0.00747442,0.065791,0.029992,0.058556,0.06079,0.026659,0.020632
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,3200,0.00556831,0.033007,0.015546,0.029116,0.049606,0.018928,0.017155
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,3300,0.00403221,0.072219,0.040295,0.059932,0.054384,0.014907,0.020735
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,3400,0.00231341,0.031077,0.012655,0.028384,0.048869,0.019158,0.010004
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,3500,0.00230621,0.035834,0.01969,0.029939,0.056454,0.016552,0.01348
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,3600,0.00476858,0.045301,0.013179,0.043342,0.052898,0.018991,0.016904
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,3700,0.00181922,0.02571,0.011676,0.022906,0.040634,0.016482,0.009736
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,3800,0.00186906,0.023983,0.012016,0.020756,0.04592,0.015707,0.010144
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,3900,0.00149667,0.023383,0.011483,0.020369,0.035077,0.014389,0.009404
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,4000,0.00369171,0.028958,0.01268,0.026035,0.043559,0.015344,0.012583
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,4100,0.00140655,0.031637,0.011878,0.029322,0.031727,0.013572,0.009507
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,4200,0.00172809,0.021282,0.01096,0.018243,0.03086,0.014035,0.00872
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,4300,0.00121766,0.02559,0.010407,0.023378,0.029257,0.011584,0.008676
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,4400,0.00097828,0.019266,0.009769,0.016606,0.025455,0.011434,0.007787
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,4500,0.00392144,0.062298,0.011235,0.061277,0.028744,0.015116,0.009337
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,4600,0.00084509,0.018969,0.009727,0.016286,0.021969,0.010992,0.007363
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,4700,0.00858665,0.088104,0.044767,0.075883,0.033711,0.011891,0.00709
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,4800,0.00331006,0.024461,0.010201,0.022233,0.023866,0.010057,0.012015
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,4900,0.00075594,0.019557,0.00902,0.017353,0.018918,0.008788,0.006891
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,5000,0.00087585,0.02038,0.009892,0.017818,0.016511,0.009268,0.009319
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,5100,0.00079037,0.022284,0.008718,0.020508,0.016484,0.008875,0.006345
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,5200,0.00110862,0.023106,0.009121,0.021229,0.019842,0.009484,0.006761
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,5300,0.00058479,0.018534,0.008806,0.016308,0.012999,0.008169,0.006169
kovasznay,ropinn,mlp,adam,0.001,1,30,none,multiseed_20260427,5400,0.00892195,0.082435,0.011486,0.08163,0.085106,0.008489,0.011322
