problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
kovasznay,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,100,0.21761066,0.147101,0.094412,0.112805,0.737165,0.117556,0.22702
kovasznay,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,200,0.14597583,0.127527,0.079902,0.099392,0.679896,0.141887,0.160955
kovasznay,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,300,0.08413947,0.095685,0.056212,0.077433,0.549253,0.160885,0.118949
kovasznay,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,400,0.06205649,0.080145,0.044621,0.066574,0.471096,0.16706,0.113449
kovasznay,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,500,0.04849832,0.074248,0.040364,0.062318,0.398349,0.157765,0.113386
kovasznay,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,600,0.03753953,0.076786,0.040545,0.065208,0.331418,0.14154,0.113905
kovasznay,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,700,0.03033374,0.087877,0.04395,0.076097,0.259223,0.114217,0.110392
kovasznay,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,800,0.02013969,0.07821,0.036627,0.069103,0.18215,0.084028,0.096132
kovasznay,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,900,0.01039685,0.074146,0.033171,0.066313,0.115713,0.058088,0.073345
kovasznay,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,1000,0.00446013,0.073967,0.027844,0.068526,0.07212,0.038325,0.047994
kovasznay,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,1100,0.00198035,0.070884,0.02346,0.066889,0.046535,0.024081,0.027915
kovasznay,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,1200,0.00122523,0.067086,0.020906,0.063745,0.033006,0.017233,0.018962
kovasznay,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,1300,0.00090708,0.067411,0.021097,0.064025,0.024585,0.01326,0.014278
kovasznay,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,1400,0.00056973,0.059483,0.018089,0.056665,0.019498,0.010036,0.009582
kovasznay,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,1500,0.00044483,0.056785,0.017328,0.054076,0.016259,0.008435,0.007536
kovasznay,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,1600,0.0004818,0.054932,0.01735,0.05212,0.013316,0.007298,0.006432
kovasznay,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,1700,0.00050204,0.054241,0.017051,0.051491,0.012966,0.006877,0.005291
kovasznay,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,1800,0.00025056,0.050313,0.015938,0.047721,0.011238,0.006091,0.004954
kovasznay,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,1900,0.00094217,0.054782,0.019383,0.051239,0.010979,0.006344,0.004436
kovasznay,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,2000,0.00017919,0.04727,0.015458,0.044672,0.009531,0.005302,0.004351
kovasznay,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,2100,0.00027403,0.048145,0.016405,0.045264,0.009699,0.005242,0.003955
kovasznay,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,2200,0.00014871,0.046028,0.01513,0.043471,0.008452,0.00484,0.00406
kovasznay,ropinn,pirate-net,adam,0.001,1,30,none,multiseed_20260427,2300,0.00013189,0.045185,0.014913,0.042653,0.008095,0.004623,0.003717
