problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
kovasznay,sage,mlp,adam,0.001,7,30,none,multiseed_20260427,100,0.22394215,0.106068,0.091991,0.052802,0.882158,0.209286,0.119415
kovasznay,sage,mlp,adam,0.001,7,30,none,multiseed_20260427,200,0.17575151,0.156749,0.129001,0.089044,0.719014,0.163024,0.181905
kovasznay,sage,mlp,adam,0.001,7,30,none,multiseed_20260427,300,0.15210939,0.137017,0.073631,0.115552,0.643609,0.168524,0.190351
kovasznay,sage,mlp,adam,0.001,7,30,none,multiseed_20260427,400,0.13101888,0.121787,0.061692,0.105006,0.620022,0.147572,0.210463
kovasznay,sage,mlp,adam,0.001,7,30,none,multiseed_20260427,500,0.12529415,0.122816,0.056808,0.108888,0.608431,0.146175,0.213192
kovasznay,sage,mlp,adam,0.001,7,30,none,multiseed_20260427,600,0.11683436,0.11208,0.058806,0.095413,0.595444,0.138813,0.216317
kovasznay,sage,mlp,adam,0.001,7,30,none,multiseed_20260427,700,0.11197335,0.110872,0.058017,0.094481,0.580666,0.135754,0.215798
kovasznay,sage,mlp,adam,0.001,7,30,none,multiseed_20260427,800,0.11670066,0.130759,0.067068,0.112249,0.547568,0.132136,0.215512
kovasznay,sage,mlp,adam,0.001,7,30,none,multiseed_20260427,900,0.10288932,0.190576,0.126738,0.142326,0.493703,0.130983,0.199889
kovasznay,sage,mlp,adam,0.001,7,30,none,multiseed_20260427,1000,0.07489152,0.122245,0.068933,0.100956,0.355276,0.109812,0.190746
kovasznay,sage,mlp,adam,0.001,7,30,none,multiseed_20260427,1100,0.03788906,0.118828,0.066693,0.098348,0.210873,0.076678,0.11407
kovasznay,sage,mlp,adam,0.001,7,30,none,multiseed_20260427,1200,0.02365542,0.106377,0.064682,0.084453,0.162964,0.050881,0.072052
