problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,100,0.22018831,0.142993,0.091232,0.110108,0.754392,0.138357,0.216873
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,200,0.1698716,0.142379,0.090859,0.10962,0.712777,0.154968,0.179879
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,300,0.11159554,0.120905,0.065216,0.101808,0.556961,0.140478,0.204256
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,400,0.05627448,0.1063,0.051533,0.092973,0.332969,0.13355,0.151019
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,500,0.02190214,0.080441,0.042306,0.068417,0.177654,0.078145,0.095405
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,600,0.00775015,0.052188,0.025328,0.04563,0.098039,0.042113,0.047596
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,700,0.00479214,0.045306,0.021973,0.039621,0.078761,0.0299,0.026867
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,800,0.00345149,0.040477,0.020855,0.034691,0.074239,0.023662,0.020317
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,900,0.00215348,0.031045,0.014487,0.027457,0.061162,0.020466,0.01476
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,1000,0.00168992,0.029069,0.013176,0.025911,0.055996,0.018812,0.012197
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,1100,0.00186941,0.032172,0.013257,0.029313,0.05255,0.016711,0.010796
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,1200,0.00161129,0.030954,0.014721,0.027229,0.045327,0.016361,0.010252
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,1300,0.00116794,0.02696,0.011139,0.024551,0.047288,0.01604,0.00942
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,1400,0.00104063,0.026523,0.010419,0.024391,0.043948,0.01495,0.008876
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,1500,0.00129591,0.029794,0.010754,0.027785,0.040804,0.01277,0.008613
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,1600,0.00108478,0.027839,0.00958,0.026139,0.034603,0.012131,0.008255
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,1700,0.00071835,0.02605,0.009499,0.024256,0.032539,0.010246,0.007921
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,1800,0.00061661,0.027022,0.009306,0.025369,0.020841,0.009059,0.007233
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,1900,0.00076472,0.033651,0.01501,0.030118,0.021212,0.007011,0.006917
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,2000,0.00037302,0.022735,0.00805,0.021263,0.016871,0.006318,0.00643
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,2100,0.0003411,0.021727,0.007775,0.020288,0.015676,0.005949,0.006221
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,2200,0.00037735,0.021753,0.008647,0.019961,0.012255,0.005543,0.005814
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,2300,0.00026675,0.019185,0.007332,0.017729,0.012429,0.004858,0.005522
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,2400,0.00025017,0.018239,0.007052,0.016821,0.011777,0.004807,0.00535
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,2500,0.00062023,0.024649,0.01077,0.022172,0.009541,0.005001,0.00515
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,2600,0.0002003,0.015945,0.006738,0.014452,0.009936,0.004134,0.004946
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,2700,0.00018919,0.015065,0.006532,0.013575,0.009611,0.004056,0.004807
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,2800,0.00024031,0.016344,0.007366,0.01459,0.008636,0.003976,0.004662
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,2900,0.00019746,0.013714,0.006249,0.012208,0.008484,0.003712,0.004473
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,3000,0.00139061,0.039083,0.023049,0.031563,0.012542,0.003354,0.004365
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,3100,0.0007212,0.0245,0.01183,0.021454,0.009584,0.003554,0.004318
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,3200,0.00030066,0.013794,0.00689,0.011949,0.008856,0.003074,0.004086
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,3300,0.00037624,0.019472,0.009403,0.017051,0.007127,0.003494,0.003729
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,3400,0.00011276,0.011558,0.005915,0.00993,0.006372,0.00302,0.003678
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,3500,0.00010072,0.011012,0.00575,0.009392,0.006169,0.002922,0.003626
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,3600,0.00010022,0.011184,0.005868,0.009522,0.006694,0.00286,0.003582
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,3700,0.00019873,0.013796,0.006554,0.012139,0.005255,0.002966,0.003322
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,3800,0.00013097,0.011445,0.006157,0.009648,0.00531,0.002674,0.003308
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,3900,0.00201571,0.038756,0.019927,0.033241,0.008846,0.004178,0.003122
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,4000,0.00012013,0.012513,0.006499,0.010692,0.00519,0.002546,0.003103
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,4100,0.00143244,0.029745,0.012817,0.026842,0.007698,0.003831,0.002956
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,4200,0.00065184,0.019252,0.009647,0.016661,0.005076,0.002652,0.002808
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,4300,8.428e-05,0.010948,0.005732,0.009327,0.004833,0.00245,0.002823
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,4400,0.00010001,0.011414,0.006473,0.0094,0.004237,0.00233,0.00266
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,4500,6.625e-05,0.010188,0.005579,0.008525,0.004447,0.002223,0.002755
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,4600,9.372e-05,0.011703,0.005682,0.010232,0.004657,0.002379,0.002723
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,4700,0.00037622,0.02116,0.012068,0.017381,0.006087,0.00215,0.002521
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,4800,0.00015777,0.012033,0.006182,0.010324,0.004056,0.002225,0.002622
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,4900,6.374e-05,0.010314,0.00548,0.008738,0.003821,0.00216,0.00255
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,5000,0.000152,0.012524,0.006652,0.010612,0.004013,0.002174,0.002535
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,5100,6.079e-05,0.010761,0.005965,0.008956,0.003834,0.002042,0.002416
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,5200,7.449e-05,0.010603,0.00573,0.008922,0.003995,0.002052,0.002383
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,5300,0.00013554,0.013492,0.006595,0.01177,0.00408,0.002268,0.002415
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,5400,6.377e-05,0.010305,0.005867,0.008472,0.00346,0.001953,0.002375
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,5500,7.39e-05,0.011689,0.005739,0.010184,0.00353,0.00221,0.002407
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,5600,5.067e-05,0.010505,0.005715,0.008814,0.003529,0.001981,0.002194
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,5700,0.00013551,0.011112,0.006197,0.009223,0.003522,0.002028,0.002253
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,5800,0.0002615,0.01554,0.007598,0.013556,0.009351,0.001979,0.002333
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,5900,5.794e-05,0.010392,0.005901,0.008554,0.003366,0.00179,0.002151
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,6000,0.00106189,0.024271,0.011952,0.021125,0.006856,0.002609,0.002096
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,6100,0.00011311,0.013396,0.006323,0.01181,0.007722,0.002022,0.002228
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,6200,0.00026075,0.015849,0.007906,0.013737,0.004604,0.002316,0.002279
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,6300,7.687e-05,0.010761,0.005807,0.009061,0.003174,0.001826,0.002174
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,6400,4.741e-05,0.01026,0.005734,0.008508,0.003038,0.001722,0.002032
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,6500,6.327e-05,0.011243,0.00571,0.009685,0.003092,0.001889,0.002003
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,6600,4.333e-05,0.010092,0.00569,0.008335,0.003079,0.00169,0.001965
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,6700,0.00107213,0.031931,0.01333,0.029016,0.005649,0.004322,0.002056
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,6800,5.42e-05,0.010202,0.005642,0.0085,0.003131,0.001674,0.001946
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,6900,4.69e-05,0.010143,0.005752,0.008354,0.003006,0.001664,0.001868
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,7000,0.00011297,0.013382,0.007488,0.01109,0.003809,0.00192,0.00215
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,7100,6.476e-05,0.011919,0.0061,0.01024,0.003479,0.00198,0.001905
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,7200,6.186e-05,0.011227,0.006292,0.009298,0.003115,0.001604,0.001848
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,7300,4.292e-05,0.010404,0.005839,0.008611,0.002975,0.001578,0.001812
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,7400,4.373e-05,0.010465,0.006001,0.008573,0.002994,0.001571,0.001803
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,7500,0.00017849,0.011933,0.006636,0.009918,0.003116,0.001786,0.001851
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,7600,0.0001127,0.013494,0.007475,0.011235,0.003989,0.001638,0.001801
kovasznay,sage,pirate-net,adam,0.001,0,30,none,multiseed_20260427,7700,0.00013893,0.01476,0.008474,0.012085,0.00423,0.00156,0.001768
