problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,100,0.24443859,0.087712,0.064829,0.059081,0.80024,0.200337,0.160036
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,200,0.19097862,0.118142,0.063798,0.099436,0.652171,0.152885,0.22263
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,300,0.17402363,0.125378,0.05413,0.113091,0.599948,0.158733,0.219871
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,400,0.21373436,0.202651,0.137643,0.148733,0.582477,0.175838,0.202844
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,500,0.10533618,0.152953,0.089031,0.12437,0.407241,0.155641,0.166278
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,600,0.06944998,0.161926,0.098972,0.128158,0.279076,0.100172,0.140097
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,700,0.03030556,0.147297,0.105741,0.102545,0.225002,0.047079,0.067399
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,800,0.01608898,0.094393,0.063423,0.06991,0.172285,0.040419,0.04231
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,900,0.01895186,0.124842,0.057449,0.110838,0.133671,0.048014,0.042587
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,1000,0.01105977,0.083244,0.054809,0.062655,0.146682,0.031233,0.032118
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,1100,0.01044333,0.08375,0.051938,0.0657,0.132467,0.030817,0.030588
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,1200,0.00945363,0.07961,0.053879,0.058607,0.142388,0.025785,0.027778
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,1300,0.00885313,0.080854,0.050258,0.063337,0.127213,0.024911,0.026776
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,1400,0.01040117,0.073896,0.045368,0.058329,0.106137,0.028187,0.024274
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,1500,0.00757638,0.070177,0.044072,0.054612,0.122124,0.024038,0.021289
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,1600,0.009484,0.07242,0.044696,0.056982,0.123642,0.022138,0.02041
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,1700,0.00785607,0.071358,0.04265,0.05721,0.114665,0.023029,0.018402
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,1800,0.00644818,0.064692,0.038984,0.051626,0.112008,0.021474,0.017371
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,1900,0.00865084,0.072758,0.044212,0.057784,0.105407,0.023474,0.017025
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,2000,0.00712055,0.074843,0.036849,0.065143,0.102934,0.024805,0.015262
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,2100,0.01088909,0.073139,0.036846,0.06318,0.105645,0.020011,0.016748
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,2200,0.00518559,0.057763,0.034295,0.046481,0.100515,0.020638,0.013457
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,2300,0.00497498,0.056356,0.033745,0.045136,0.09694,0.020308,0.012687
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,2400,0.00470395,0.054721,0.032099,0.044317,0.095357,0.02002,0.011949
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,2500,0.00456915,0.054862,0.031791,0.044712,0.092385,0.020207,0.011241
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,2600,0.00429556,0.051886,0.029781,0.042488,0.089982,0.019689,0.010784
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,2700,0.00449739,0.05354,0.030678,0.043879,0.086727,0.02068,0.011114
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,2800,0.00400426,0.050662,0.027815,0.042343,0.089836,0.019343,0.009982
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,2900,0.0038955,0.052258,0.028539,0.043778,0.084471,0.018706,0.00922
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,3000,0.00393096,0.054434,0.025681,0.047996,0.078805,0.021878,0.009565
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,3100,0.00353055,0.04751,0.025232,0.040256,0.080795,0.01923,0.008864
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,3200,0.00337238,0.046622,0.023965,0.039991,0.077152,0.018846,0.010343
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,3300,0.02225408,0.151821,0.024934,0.14976,0.09144,0.032952,0.014366
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,3400,0.00316265,0.046294,0.024034,0.039567,0.076769,0.018419,0.008727
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,3500,0.00303298,0.043765,0.021794,0.037953,0.078145,0.0178,0.00881
kovasznay,sk-pinn,mlp,adam,0.001,1,150,none,multiseed_20260427,3600,0.0029841,0.042992,0.021375,0.037302,0.077801,0.017882,0.009716
