problem,method,model,optimizer,lr,seed,grid_size,technique,tag,epoch,train_loss,pde_rms,continuity_rms,momentum_rms,u_rms_error,v_rms_error,p_rms_error
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,100,0.24370973,0.080102,0.059663,0.053448,0.748491,0.161161,0.222643
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,200,0.20923421,0.104759,0.072726,0.075401,0.704485,0.157572,0.220174
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,300,0.20019569,0.108376,0.069997,0.082739,0.689338,0.148943,0.222697
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,400,0.18610036,0.112145,0.06912,0.088311,0.661416,0.142956,0.22099
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,500,0.13708295,0.113062,0.06439,0.092936,0.585741,0.160086,0.153808
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,600,0.07915264,0.11923,0.070057,0.096477,0.37791,0.142966,0.125537
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,700,0.02612445,0.104578,0.062594,0.083777,0.155329,0.054779,0.078837
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,800,0.01121405,0.077887,0.050439,0.059349,0.118081,0.029553,0.038927
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,900,0.00816198,0.069548,0.042199,0.055283,0.107318,0.024516,0.028807
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,1000,0.00692525,0.065463,0.037547,0.053624,0.101171,0.022578,0.024213
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,1100,0.00622742,0.063244,0.034849,0.052777,0.096801,0.021299,0.021593
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,1200,0.00603951,0.062747,0.032835,0.05347,0.091527,0.021198,0.019823
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,1300,0.00525525,0.061092,0.032232,0.051898,0.088954,0.018686,0.018435
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,1400,0.0048276,0.059153,0.030516,0.050674,0.083198,0.018586,0.017055
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,1500,0.00437574,0.057817,0.029697,0.049607,0.078243,0.017063,0.015984
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,1600,0.00418423,0.059027,0.028525,0.051677,0.071062,0.018497,0.015271
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,1700,0.00387788,0.055045,0.028019,0.047381,0.067161,0.015658,0.014369
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,1800,0.00350625,0.055283,0.026109,0.048729,0.063493,0.014233,0.013378
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,1900,0.00313993,0.051679,0.024746,0.045368,0.06067,0.014355,0.012955
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,2000,0.00452648,0.061694,0.025427,0.056211,0.058665,0.018899,0.012502
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,2100,0.0032992,0.054848,0.026651,0.047938,0.055104,0.012639,0.012285
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,2200,0.00300367,0.052494,0.022433,0.047459,0.053732,0.015434,0.011846
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,2300,0.00254232,0.048143,0.021551,0.04305,0.050581,0.012496,0.011405
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,2400,0.00230949,0.046621,0.020326,0.041957,0.047339,0.012044,0.011096
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,2500,0.00221965,0.046276,0.01958,0.04193,0.043373,0.011586,0.010752
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,2600,0.00192696,0.044997,0.019156,0.040716,0.037919,0.009977,0.010574
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,2700,0.00214981,0.047818,0.021638,0.042642,0.034414,0.010006,0.010572
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,2800,0.00172202,0.043333,0.018235,0.039309,0.032098,0.009126,0.010178
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,2900,0.00454934,0.070957,0.035336,0.061533,0.027871,0.01154,0.010699
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,3000,0.00146984,0.041982,0.017886,0.037981,0.027673,0.008603,0.010009
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,3100,0.00207764,0.047715,0.023073,0.041766,0.025942,0.009066,0.010319
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,3200,0.00303709,0.047504,0.020106,0.043039,0.024618,0.008547,0.010203
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,3300,0.00159066,0.045964,0.021207,0.04078,0.023102,0.008675,0.009835
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,3400,0.0013317,0.040645,0.017136,0.036856,0.022691,0.008109,0.009615
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,3500,0.00204809,0.049005,0.024571,0.042401,0.021628,0.009026,0.00996
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,3600,0.00142405,0.04086,0.017101,0.037109,0.021159,0.008204,0.009387
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,3700,0.00117595,0.038426,0.016165,0.034861,0.02024,0.007774,0.009354
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,3800,0.00111095,0.037486,0.016012,0.033894,0.019618,0.007537,0.009207
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,3900,0.00109832,0.037547,0.016174,0.033885,0.018924,0.007591,0.009122
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,4000,0.00109787,0.037245,0.015733,0.033759,0.018896,0.007224,0.008993
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,4100,0.00105503,0.036601,0.015492,0.033161,0.017956,0.007262,0.008927
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,4200,0.00101548,0.036046,0.015554,0.032518,0.017406,0.007241,0.008846
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,4300,0.00100494,0.035916,0.015684,0.032311,0.017039,0.007259,0.008805
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,4400,0.00098272,0.035435,0.01532,0.031952,0.016631,0.007109,0.008693
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,4500,0.00098096,0.035482,0.015359,0.031985,0.016003,0.007194,0.00865
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,4600,0.00095081,0.034877,0.015156,0.031412,0.015996,0.007021,0.008588
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,4700,0.00095454,0.034781,0.015082,0.031341,0.016026,0.007002,0.008521
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,4800,0.00096307,0.034677,0.014885,0.03132,0.01556,0.006911,0.008505
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,4900,0.00391018,0.068406,0.034283,0.059196,0.016552,0.010168,0.008671
kovasznay,sk-pinn,pirate-net,adam,0.001,42,150,none,multiseed_20260427,5000,0.00122448,0.040745,0.017067,0.036998,0.014948,0.008203,0.008387
